admin4_id,admin4_id_admin2
US-MA-BA-BO,36
US-MA-BA-BR,41
US-MA-BA-BT,20
US-MA-BA-CH,55
US-MA-BA-DE,75
US-MA-BA-EA,86
US-MA-BA-FA,96
US-MA-BA-HA,126
US-MA-BA-MA,172
US-MA-BA-OR,224
US-MA-BA-PR,242
US-MA-BA-SA,261
US-MA-BA-TR,300
US-MA-BA-WE,318
US-MA-BA-YA,351
US-MA-BE-AD,4
US-MA-BE-AL,6
US-MA-BE-BE,22
US-MA-BE-CH,58
US-MA-BE-CL,63
US-MA-BE-DA,70
US-MA-BE-EG,90
US-MA-BE-FL,98
US-MA-BE-GB,113
US-MA-BE-HA,121
US-MA-BE-HI,132
US-MA-BE-LA,148
US-MA-BE-LE,150
US-MA-BE-LN,152
US-MA-BE-MO,193
US-MA-BE-MW,195
US-MA-BE-NA,200
US-MA-BE-NM,203
US-MA-BE-NO,209
US-MA-BE-OT,225
US-MA-BE-PE,233
US-MA-BE-PI,236
US-MA-BE-RI,249
US-MA-BE-SA,260
US-MA-BE-SH,267
US-MA-BE-ST,283
US-MA-BE-SV,263
US-MA-BE-TY,302
US-MA-BE-WA,313
US-MA-BE-WI,341
US-MA-BE-WN,345
US-MA-BE-WS,326
US-MA-BR-AC,3
US-MA-BR-AT,16
US-MA-BR-BE,27
US-MA-BR-DA,72
US-MA-BR-DI,76
US-MA-BR-EA,88
US-MA-BR-FA,94
US-MA-BR-FE,102
US-MA-BR-FR,95
US-MA-BR-MA,167
US-MA-BR-NA,211
US-MA-BR-NB,201
US-MA-BR-NO,218
US-MA-BR-RA,245
US-MA-BR-RE,247
US-MA-BR-SE,265
US-MA-BR-SO,273
US-MA-BR-SW,292
US-MA-BR-TA,293
US-MA-BR-WE,334
US-MA-DU-AQ,104
US-MA-DU-CH,62
US-MA-DU-ED,89
US-MA-DU-GO,109
US-MA-DU-OB,221
US-MA-DU-TI,296
US-MA-DU-WT,327
US-MA-ES-AN,9
US-MA-ES-AT,7
US-MA-ES-BE,30
US-MA-ES-BO,38
US-MA-ES-DA,71
US-MA-ES-ES,92
US-MA-ES-GE,105
US-MA-ES-GL,107
US-MA-ES-GR,116
US-MA-ES-HA,119
US-MA-ES-HV,128
US-MA-ES-IP,144
US-MA-ES-LA,149
US-MA-ES-LN,164
US-MA-ES-LY,163
US-MA-ES-MA,168
US-MA-ES-MB,166
US-MA-ES-ME,180
US-MA-ES-MI,184
US-MA-ES-MT,181
US-MA-ES-NA,210
US-MA-ES-NE,205
US-MA-ES-NH,196
US-MA-ES-NW,206
US-MA-ES-PE,229
US-MA-ES-RO,252
US-MA-ES-RW,254
US-MA-ES-SA,258
US-MA-ES-SL,259
US-MA-ES-SU,262
US-MA-ES-SW,291
US-MA-ES-TO,298
US-MA-ES-WE,320
US-MA-ES-WN,324
US-MA-FR-AS,13
US-MA-FR-BE,29
US-MA-FR-BU,47
US-MA-FR-CH,53
US-MA-FR-CN,68
US-MA-FR-CO,66
US-MA-FR-DE,74
US-MA-FR-ER,91
US-MA-FR-GI,106
US-MA-FR-GR,114
US-MA-FR-HA,129
US-MA-FR-HE,130
US-MA-FR-LE,154
US-MA-FR-LY,156
US-MA-FR-MN,192
US-MA-FR-MO,190
US-MA-FR-NO,217
US-MA-FR-NS,204
US-MA-FR-OR,223
US-MA-FR-RO,253
US-MA-FR-SH,268
US-MA-FR-ST,272
US-MA-FR-SU,289
US-MA-FR-WA,312
US-MA-FR-WE,319
US-MA-FR-WH,337
US-MA-HD-AT,5
US-MA-HD-BL,33
US-MA-HD-BR,43
US-MA-HD-CH,59
US-MA-HD-CI,61
US-MA-HD-EL,85
US-MA-HD-GR,112
US-MA-HD-HA,120
US-MA-HD-HL,137
US-MA-HD-HO,135
US-MA-HD-LO,159
US-MA-HD-LU,161
US-MA-HD-MN,194
US-MA-HD-MO,191
US-MA-HD-PT,227
US-MA-HD-RU,256
US-MA-HD-SO,279
US-MA-HD-SP,281
US-MA-HD-TO,297
US-MA-HD-WA,306
US-MA-HD-WE,329
US-MA-HD-WI,339
US-MA-HD-WS,325
US-MA-HS-AT,8
US-MA-HS-BE,24
US-MA-HS-CH,60
US-MA-HS-CU,69
US-MA-HS-ET,87
US-MA-HS-GO,108
US-MA-HS-GR,111
US-MA-HS-HA,117
US-MA-HS-HT,127
US-MA-HS-HU,143
US-MA-HS-MI,183
US-MA-HS-NO,214
US-MA-HS-PE,230
US-MA-HS-PL,237
US-MA-HS-SH,275
US-MA-HS-SO,276
US-MA-HS-WA,309
US-MA-HS-WE,331
US-MA-HS-WI,340
US-MA-HS-WO,349
US-MA-MI-AC,2
US-MA-MI-AH,14
US-MA-MI-AR,10
US-MA-MI-AS,12
US-MA-MI-AY,19
US-MA-MI-BE,23
US-MA-MI-BI,31
US-MA-MI-BL,26
US-MA-MI-BO,37
US-MA-MI-BU,48
US-MA-MI-CA,49
US-MA-MI-CH,56
US-MA-MI-CO,67
US-MA-MI-CR,51
US-MA-MI-DR,79
US-MA-MI-DU,81
US-MA-MI-EV,93
US-MA-MI-FR,100
US-MA-MI-GR,115
US-MA-MI-HO,136
US-MA-MI-HP,139
US-MA-MI-HU,141
US-MA-MI-LE,155
US-MA-MI-LI,157
US-MA-MI-LO,160
US-MA-MI-LT,158
US-MA-MI-MA,165
US-MA-MI-ME,176
US-MA-MI-ML,178
US-MA-MI-MR,170
US-MA-MI-MY,174
US-MA-MI-NA,198
US-MA-MI-NE,207
US-MA-MI-NR,213
US-MA-MI-PE,232
US-MA-MI-RE,246
US-MA-MI-SH,269
US-MA-MI-SI,270
US-MA-MI-SO,274
US-MA-MI-ST,284
US-MA-MI-SU,288
US-MA-MI-SW,286
US-MA-MI-TE,295
US-MA-MI-TO,299
US-MA-MI-TY,301
US-MA-MI-WA,305
US-MA-MI-WE,330
US-MA-MI-WI,342
US-MA-MI-WL,308
US-MA-MI-WN,344
US-MA-MI-WO,347
US-MA-MI-WS,333
US-MA-MI-WT,314
US-MA-MI-WY,315
US-MA-NA-NA,197
US-MA-NO-AV,18
US-MA-NO-BE,25
US-MA-NO-BR,46
US-MA-NO-BT,40
US-MA-NO-CA,50
US-MA-NO-CO,65
US-MA-NO-DE,73
US-MA-NO-DO,78
US-MA-NO-FO,99
US-MA-NO-FT,101
US-MA-NO-HO,133
US-MA-NO-MD,177
US-MA-NO-ME,175
US-MA-NO-MI,187
US-MA-NO-ML,189
US-MA-NO-NE,199
US-MA-NO-NO,208
US-MA-NO-NR,220
US-MA-NO-PL,238
US-MA-NO-QU,243
US-MA-NO-RT,244
US-MA-NO-SH,266
US-MA-NO-ST,285
US-MA-NO-WA,307
US-MA-NO-WE,317
US-MA-NO-WR,350
US-MA-NO-WS,335
US-MA-NO-WT,336
US-MA-PL-AB,1
US-MA-PL-BR,44
US-MA-PL-BT,42
US-MA-PL-CA,52
US-MA-PL-DU,82
US-MA-PL-EB,83
US-MA-PL-HA,118
US-MA-PL-HI,131
US-MA-PL-HN,122
US-MA-PL-HS,123
US-MA-PL-HU,142
US-MA-PL-KI,145
US-MA-PL-LA,146
US-MA-PL-MA,169
US-MA-PL-MI,182
US-MA-PL-MR,171
US-MA-PL-MT,173
US-MA-PL-NO,219
US-MA-PL-PE,231
US-MA-PL-PL,239
US-MA-PL-PY,240
US-MA-PL-RC,251
US-MA-PL-RO,250
US-MA-PL-SC,264
US-MA-PL-WA,310
US-MA-PL-WB,322
US-MA-PL-WH,338
US-MA-SU-BO,35
US-MA-SU-CH,57
US-MA-SU-RE,248
US-MA-SU-WT,346
US-MA-WO-AS,11
US-MA-WO-AT,15
US-MA-WO-AU,17
US-MA-WO-BA,21
US-MA-WO-BE,28
US-MA-WO-BL,32
US-MA-WO-BO,34
US-MA-WO-BR,45
US-MA-WO-BY,39
US-MA-WO-CH,54
US-MA-WO-CL,64
US-MA-WO-DO,77
US-MA-WO-DU,80
US-MA-WO-EB,84
US-MA-WO-FI,97
US-MA-WO-GA,103
US-MA-WO-GR,110
US-MA-WO-HA,124
US-MA-WO-HO,134
US-MA-WO-HP,138
US-MA-WO-HR,125
US-MA-WO-HU,140
US-MA-WO-LA,147
US-MA-WO-LE,151
US-MA-WO-LO,153
US-MA-WO-LU,162
US-MA-WO-ME,179
US-MA-WO-MI,185
US-MA-WO-ML,186
US-MA-WO-MV,188
US-MA-WO-NB,202
US-MA-WO-NO,212
US-MA-WO-NR,215
US-MA-WO-NT,216
US-MA-WO-OA,222
US-MA-WO-OX,226
US-MA-WO-PA,228
US-MA-WO-PE,234
US-MA-WO-PH,235
US-MA-WO-PR,241
US-MA-WO-RO,255
US-MA-WO-RU,257
US-MA-WO-SE,282
US-MA-WO-SH,271
US-MA-WO-SO,277
US-MA-WO-SP,280
US-MA-WO-SR,287
US-MA-WO-ST,278
US-MA-WO-SU,290
US-MA-WO-TE,294
US-MA-WO-UP,303
US-MA-WO-UX,304
US-MA-WO-WA,311
US-MA-WO-WB,321
US-MA-WO-WE,316
US-MA-WO-WI,343
US-MA-WO-WM,332
US-MA-WO-WO,348
US-MA-WO-WS,323
US-MA-WO-WT,328
