county_name,admin3_id
SHELBY,US-TX-SHE
SHERMAN,US-TX-SHN
SMITH,US-TX-SMI
SOMERVELL,US-TX-SOM
STARR,US-TX-STA
STEPHENS,US-TX-STE
STERLING,US-TX-STG
STONEWALL,US-TX-STO
SUTTON,US-TX-SUT
SWISHER,US-TX-SWI
TARRANT,US-TX-TAR
TAYLOR,US-TX-TAY
TERRELL,US-TX-TEL
TERRY,US-TX-TER
THROCKMORTON,US-TX-THR
TITUS,US-TX-TIT
TOM GREEN,US-TX-TOG
TRAVIS,US-TX-TRA
TRINITY,US-TX-TRI
TYLER,US-TX-TYL
UPSHUR,US-TX-UPS
UPTON,US-TX-UPT
UVALDE,US-TX-UVA
VAL VERDE,US-TX-VAV
VAN ZANDT,US-TX-VAZ
VICTORIA,US-TX-VIC
WARD,US-TX-WAD
WALKER,US-TX-WAL
WALLER,US-TX-WAR
WASHINGTON,US-TX-WAS
WEBB,US-TX-WEB
WHARTON,US-TX-WHA
WHEELER,US-TX-WHE
WICHITA,US-TX-WIC
WILLIAMSON,US-TX-WIL
WILSON,US-TX-WIN
WILBARGER,US-TX-WIR
WISE,US-TX-WIS
WILLACY,US-TX-WIY
WINKLER,US-TX-WNK
WOOD,US-TX-WOO
YOAKUM,US-TX-YOA
YOUNG,US-TX-YOU
ZAPATA,US-TX-ZAP
ZAVALA,US-TX-ZAV
