admin2_id,admin2_id_admin1
CO-AD,88
CO-AM,91
CO-AN,05
CO-AR,81
CO-AT,08
CO-BD,11
CO-BO,13
CO-BY,15
CO-CA,17
CO-CC,19
CO-CE,20
CO-CH,27
CO-CQ,18
CO-CR,23
CO-CS,85
CO-CU,25
CO-GA,95
CO-GJ,44
CO-GU,94
CO-HU,41
CO-MA,47
CO-ME,50
CO-NA,52
CO-ND,54
CO-PU,86
CO-QU,63
CO-RI,66
CO-SA,68
CO-SU,70
CO-TO,73
CO-VA,97
CO-VD,76
CO-VI,99
