admin4_id,TOWN
US-VT-RU-MS,MIDDLETOWN SPRINGS
US-VT-RU-MT,MOUNT TABOR
US-VT-RU-PA,PAWLET
US-VT-RU-PI,PITTSFIELD
US-VT-RU-PO,POULTNEY
US-VT-RU-PR,PROCTOR
US-VT-RU-PT,PITTSFORD
US-VT-RU-RT,RUTLAND TOWN
US-VT-RU-RU,RUTLAND CITY
US-VT-RU-SH,SHREWSBURY
US-VT-RU-SU,SUDBURY
US-VT-RU-TI,TINMOUTH
US-VT-RU-WA,WALLINGFORD
US-VT-RU-WE,WELLS
US-VT-RU-WH,WEST HAVEN
US-VT-RU-WR,WEST RUTLAND
US-VT-WA-BA,BARRE TOWN
US-VT-WA-BE,BERLIN
US-VT-WA-BR,BARRE CITY
US-VT-WA-CA,CABOT
US-VT-WA-CL,CALAIS
US-VT-WA-DU,DUXBURY
US-VT-WA-EM,EAST MONTPELIER
US-VT-WA-FA,FAYSTON
US-VT-WA-MA,MARSHFIELD
US-VT-WA-MI,MIDDLESEX
US-VT-WA-MO,MONTPELIER
US-VT-WA-MR,MORETOWN
US-VT-WA-NO,NORTHFIELD
US-VT-WA-PL,PLAINFIELD
US-VT-WA-RO,ROXBURY
US-VT-WA-WA,WAITSFIELD
US-VT-WA-WC,WORCESTER
US-VT-WA-WO,WOODBURY
US-VT-WA-WR,WARREN
US-VT-WA-WT,WATERBURY
US-VT-WH-AT,ATHENS
US-VT-WH-BO,BROOKLINE
US-VT-WH-BR,BRATTLEBORO
US-VT-WH-DO,DOVER
US-VT-WH-DU,DUMMERSTON
US-VT-WH-GR,GRAFTON
US-VT-WH-GU,GUILFORD
US-VT-WH-HA,HALIFAX
US-VT-WH-JA,JAMAICA
US-VT-WH-LO,LONDONDERRY
US-VT-WH-MA,MARLBORO
US-VT-WH-NE,NEWFANE
US-VT-WH-PU,PUTNEY
US-VT-WH-RO,ROCKINGHAM
US-VT-WH-SO,SOMERSET
US-VT-WH-ST,STRATTON
US-VT-WH-TO,TOWNSHEND
US-VT-WH-VE,VERNON
US-VT-WH-WA,WARDSBORO
US-VT-WH-WE,WESTMINSTER
US-VT-WH-WH,WHITINGHAM
US-VT-WH-WI,WILMINGTON
US-VT-WH-WN,WINDHAM
US-VT-WS-AN,ANDOVER
US-VT-WS-BA,BALTIMORE
US-VT-WS-BE,BETHEL
US-VT-WS-BN,BARNARD
US-VT-WS-BR,BRIDGEWATER
US-VT-WS-CA,CAVENDISH
US-VT-WS-CH,CHESTER
US-VT-WS-HA,HARTFORD
US-VT-WS-HR,HARTLAND
US-VT-WS-LU,LUDLOW
US-VT-WS-NO,NORWICH
US-VT-WS-PL,PLYMOUTH
US-VT-WS-PO,POMFRET
US-VT-WS-PO,Pomfret
US-VT-WS-RE,READING
US-VT-WS-RO,ROCHESTER
US-VT-WS-RY,ROYALTON
US-VT-WS-SH,SHARON
US-VT-WS-SP,SPRINGFIELD
US-VT-WS-ST,STOCKBRIDGE
US-VT-WS-WE,WEATHERSFIELD
US-VT-WS-WI,WINDSOR
US-VT-WS-WO,WOODSTOCK
US-VT-WS-WS,WESTON
US-VT-WS-WW,WEST WINDSOR
