admin3_id,TOWN
US-VT-ADD,ADDISON
US-VT-ALB,ALBURGH
US-VT-ALB,ALBANY
US-VT-AND,ANDOVER
US-VT-ARL,ARLINGTON
US-VT-ATH,ATHENS
US-VT-AVE,AVERILL
US-VT-AVS,AVERY'S
US-VT-BAR,BARRE CITY
US-VT-BAD,BARNARD
US-VT-BAK,BAKERSFIELD
US-VT-BAL,BALTIMORE
US-VT-BAN,BARTON
US-VT-BAR,BARNET
US-VT-BAT,BARRE TOWN
US-VT-BEE,BERKSHIRE
US-VT-BEL,BELVIDERE
US-VT-BEN,BENNINGTON
US-VT-BER,BERLIN
US-VT-BET,BETHEL
US-VT-BLO,BLOOMFIELD
US-VT-BEN,BENSON
US-VT-BOL,BOLTON
US-VT-BRA,BRATTLEBORO
US-VT-BRD,BRADFORD
US-VT-BRE,BRAINTREE
US-VT-BRI,BRIGHTON
US-VT-BRO,BROOKLINE
US-VT-BRI,BRISTOL
US-VT-BRN,BRANDON
US-VT-BRO,BROOKFIELD
US-VT-BRR,BRIDGEWATER
US-VT-BRT,BRIDPORT
US-VT-BRU,BRUNSWICK
US-VT-BRW,BROWNINGTON
US-VT-BUE,BURKE
US-VT-BUR,BURLINGTON
US-VT-BUE,BUELS
US-VT-CAB,CABOT
US-VT-CAL,CALAIS
US-VT-CAM,CAMBRIDGE
US-VT-CAN,CANAAN
US-VT-CAS,CASTLETON
US-VT-CAV,CAVENDISH
US-VT-CHA,CHARLOTTE
US-VT-CHE,CHELSEA
US-VT-CHI,CHITTENDEN
US-VT-CHN,CHARLESTON
US-VT-CHE,CHESTER
US-VT-CLA,CLARENDON
US-VT-COH,CORINTH
US-VT-COL,COLCHESTER
US-VT-CON,CONCORD
US-VT-COR,CORNWALL
US-VT-COV,COVENTRY
US-VT-CRA,CRAFTSBURY
US-VT-DAN,DANVILLE
US-VT-DAN,DANBY
US-VT-DER,DERBY
US-VT-DOR,DORSET
US-VT-DOV,DOVER
US-VT-DUM,DUMMERSTON
US-VT-DUX,DUXBURY
US-VT-EDE,EDEN
US-VT-EHA,EAST HAVEN
US-VT-ELM,ELMORE
US-VT-EMO,EAST MONTPELIER
US-VT-ENO,ENOSBURGH
US-VT-ESS,ESSEX
US-VT-FAD,FAIRFIELD
US-VT-FAE,FAIRLEE
US-VT-FAH,FAIR HAVEN
US-VT-FAI,FAIRFAX
US-VT-FAY,FAYSTON
US-VT-FED,FERDINAND
US-VT-FER,FERRISBURGH
US-VT-FLE,FLETCHER
US-VT-FRA,FRANKLIN
US-VT-GEO,GEORGIA
US-VT-GLA,GLASTENBURY
US-VT-GLO,GLOVER
US-VT-GOS,GOSHEN
US-VT-GRA,GRANVILLE
US-VT-GRE,GREENSBORO
US-VT-GRI,GRAND ISLE
US-VT-GRN,GRAFTON
US-VT-GRO,GROTON
US-VT-GRY,GRANBY
US-VT-GUI,GUILFORD
US-VT-GUI,GUILDHALL
US-VT-HAD,HARTLAND
US-VT-HAK,HARDWICK
US-VT-HAL,HALIFAX
US-VT-HAN,HANCOCK
US-VT-HAR,HARTFORD
US-VT-HIG,HIGHGATE
US-VT-HIN,HINESBURG
US-VT-HOL,HOLLAND
US-VT-HUB,HUBBARDTON
US-VT-HUN,HUNTINGTON
US-VT-HYP,HYDE PARK
US-VT-ILM,ISLE LA MOTTE
US-VT-IRA,IRA
US-VT-IRG,IRASBURG
US-VT-JAM,JAMAICA
US-VT-JAY,JAY
US-VT-JER,JERICHO
US-VT-JOH,JOHNSON
US-VT-KIL,KILLINGTON
US-VT-KIR,KIRBY
US-VT-LAN,LANDGROVE
US-VT-LEI,LEICESTER
US-VT-LEM,LEMINGTON
US-VT-LEW,LEWIS
US-VT-LIN,LINCOLN
US-VT-LON,LONDONDERRY
US-VT-LOW,LOWELL
US-VT-LUD,LUDLOW
US-VT-LUN,LUNENBURG
US-VT-LYN,LYNDON
US-VT-MAI,MAIDSTONE
US-VT-MAN,MANCHESTER
US-VT-MAR,MARLBORO
US-VT-MAR,MARSHFIELD
US-VT-MEN,MENDON
US-VT-MID,MIDDLEBURY
US-VT-MIL,MILTON
US-VT-MIS,MIDDLETOWN SPRINGS
US-VT-MIX,MIDDLESEX
US-VT-MNK,MONKTON
US-VT-MOH,MOUNT HOLLY
US-VT-MON,MONTPELIER
US-VT-MOR,MORRISTOWN
US-VT-MOT,MOUNT TABOR
US-VT-MOY,MONTGOMERY
US-VT-MRG,MORGAN
US-VT-MOR,MORETOWN
US-VT-NEW,NEWPORT CITY
US-VT-NEE,NEWFANE
US-VT-NEK,NEWARK
US-VT-NET,NEWPORT TOWN
US-VT-NEW,NEWBURY
US-VT-NHA,NEW HAVEN
US-VT-NHE,NORTH HERO
US-VT-NOR,NORTHFIELD
US-VT-NOR,NORTON
US-VT-NOR,NORWICH
US-VT-ORA,ORANGE
US-VT-ORW,ORWELL
US-VT-PAN,PANTON
US-VT-PAW,PAWLET
US-VT-PEA,PEACHAM
US-VT-PER,PERU
US-VT-PID,PITTSFIELD
US-VT-PIT,PITTSFORD
US-VT-PLA,PLAINFIELD
US-VT-PLY,PLYMOUTH
US-VT-POM,POMFRET
US-VT-POU,POULTNEY
US-VT-POW,POWNAL
US-VT-PRO,PROCTOR
US-VT-PUT,PUTNEY
US-VT-RAN,RANDOLPH
US-VT-REA,READSBORO
US-VT-REG,READING
US-VT-RIC,RICHMOND
US-VT-RID,RICHFORD
US-VT-RIP,RIPTON
US-VT-ROC,ROCKINGHAM
US-VT-ROC,ROCHESTER
US-VT-ROX,ROXBURY
US-VT-ROY,ROYALTON
US-VT-RUT,RUTLAND CITY
US-VT-RUP,RUPERT
US-VT-RUT,RUTLAND TOWN
US-VT-RYE,RYEGATE
US-VT-SAL,ST. ALBANS CITY
US-VT-SAL,SALISBURY
US-VT-SAN,SANDGATE
US-VT-ALB,ST. ALBANS TOWN
US-VT-SBU,SOUTH BURLINGTON
US-VT-SEA,SEARSBURG
US-VT-SHA,SHARON
US-VT-SHD,SHEFFIELD
US-VT-SHE,SOUTH HERO
US-VT-SHL,SHELBURNE
US-VT-SHN,SHELDON
US-VT-SHO,SHOREHAM
US-VT-SHR,SHREWSBURY
US-VT-SHA,SHAFTSBURY
US-VT-SOM,SOMERSET
US-VT-SPR,SPRINGFIELD
US-VT-STA,STARKSBORO
US-VT-STD,STANNARD
US-VT-STE,STOCKBRIDGE
US-VT-STG,ST. GEORGE
US-VT-JOH,ST. JOHNSBURY
US-VT-STD,STAMFORD
US-VT-STN,STRATTON
US-VT-STO,STOWE
US-VT-STR,STRAFFORD
US-VT-SUD,SUDBURY
US-VT-SUN,SUNDERLAND
US-VT-SUT,SUTTON
US-VT-SWA,SWANTON
US-VT-THE,THETFORD
US-VT-TIN,TINMOUTH
US-VT-TOP,TOPSHAM
US-VT-TOW,TOWNSHEND
US-VT-TRO,TROY
US-VT-TUN,TUNBRIDGE
US-VT-UND,UNDERHILL
US-VT-VEE,VERSHIRE
US-VT-VEN,VERNON
US-VT-VER,VERGENNES
US-VT-VIC,VICTORY
US-VT-WAD,WALLINGFORD
US-VT-WAE,WATERVILLE
US-VT-WAI,WAITSFIELD
US-VT-WAL,WALDEN
US-VT-WAM,WALTHAM
US-VT-WAN,WASHINGTON
US-VT-WAO,WARDSBORO
US-VT-WAR,WARREN
US-VT-WAS,WARREN'S
US-VT-WAT,WATERFORD
US-VT-WAT,WATERBURY
US-VT-WEA,WEATHERSFIELD
US-VT-WED,WESTFIELD
US-VT-WEE,WESTMORE
US-VT-WEL,WELLS
US-VT-WEN,WESTON
US-VT-WES,WESTMINSTER
US-VT-WES,WESTFORD
US-VT-WEY,WEYBRIDGE
US-VT-WFA,WEST FAIRLEE
US-VT-WHA,WEST HAVEN
US-VT-WHE,WHEELOCK
US-VT-WHG,WHITING
US-VT-WHI,WHITINGHAM
US-VT-WIN,WINOOSKI
US-VT-WIL,WILLIAMSTOWN
US-VT-WIM,WINDHAM
US-VT-WIN,WINHALL
US-VT-WIR,WINDSOR
US-VT-WLM,WILMINGTON
US-VT-WIL,WILLISTON
US-VT-WOD,WOODFORD
US-VT-WOL,WOLCOTT
US-VT-WOO,WOODSTOCK
US-VT-WOR,WORCESTER
US-VT-WOO,WOODBURY
US-VT-WAS,WARNER'S
US-VT-WRU,WEST RUTLAND
US-VT-WWI,WEST WINDSOR
