code,label
1,Value adjustment board (VAB) change
2,Court required change
3,Revised valuation - new info on physical characteristics after VAB petition filed but before ruling
4,Revised valuation - new info on physical characteristics without a filed VAB petition
5,Revised valuation - new info on other property characteristics after VAB petition filed but before ruling
6,Revised valuation - new info on other property characteristics without a filed VAB petition
