code,label
1,Residential (one primary living unit)
2,Retirement homes and 2-9 unit residential
3,Non-homestead agricultural and other use-valued property
4,Vacant and miscellaneous residential
5,Non-agricultural acreage and other undeveloped parcels
6,Improved commercial and industrial property
7,Taxable institutional/governmental/utility/railroad/mineral land
8,Reassigned - basic stratum under 5% of county assessed value
