admin_id,population,source
AD-AL,22522,ghs-pop-e2020
AD-CA,8555,ghs-pop-e2020
AD-EE,10150,ghs-pop-e2020
AD-EN,12539,ghs-pop-e2020
AD-LM,10759,ghs-pop-e2020
AD-OR,4793,ghs-pop-e2020
AD-SJ,7914,ghs-pop-e2020
AE-AD,3096951,ghs-pop-e2020
AE-AJ,409386,ghs-pop-e2020
AE-DU,2939072,ghs-pop-e2020
AE-FU,246926,ghs-pop-e2020
AE-RA,459508,ghs-pop-e2020
AE-SH,1771212,ghs-pop-e2020
AE-UQ,92721,ghs-pop-e2020
AF-BAL,1829761,ghs-pop-e2020
AF-BAM,592791,ghs-pop-e2020
AF-BDG,853706,ghs-pop-e2020
AF-BDS,1567113,ghs-pop-e2020
AF-BGL,1331487,ghs-pop-e2020
AF-DAY,666283,ghs-pop-e2020
AF-FRA,785742,ghs-pop-e2020
AF-FYB,1520031,ghs-pop-e2020
AF-GHA,1260686,ghs-pop-e2020
AF-GHO,1065800,ghs-pop-e2020
AF-HIL,1304661,ghs-pop-e2020
AF-HIR,3161675,ghs-pop-e2020
AF-JAW,698682,ghs-pop-e2020
AF-KAB,6009293,ghs-pop-e2020
AF-KAN,1806384,ghs-pop-e2020
AF-KAP,615930,ghs-pop-e2020
AF-KDZ,1174122,ghs-pop-e2020
AF-KHO,1048166,ghs-pop-e2020
AF-KNR,679588,ghs-pop-e2020
AF-LAG,691350,ghs-pop-e2020
AF-LOG,546543,ghs-pop-e2020
AF-NAN,2278472,ghs-pop-e2020
AF-NIM,209557,ghs-pop-e2020
AF-NUR,221630,ghs-pop-e2020
AF-PAK,869090,ghs-pop-e2020
AF-PAN,187218,ghs-pop-e2020
AF-PAR,896435,ghs-pop-e2020
AF-PKA,609413,ghs-pop-e2020
AF-SAM,534057,ghs-pop-e2020
AF-SAP,742644,ghs-pop-e2020
AF-TAK,1497259,ghs-pop-e2020
AF-URU,532656,ghs-pop-e2020
AF-WAR,748378,ghs-pop-e2020
AF-ZAB,413286,ghs-pop-e2020
AG-BA,1452,ghs-pop-e2020
AG-RE,501827,level-median
AG-SA,4221,ghs-pop-e2020
AG-SG,8820,ghs-pop-e2020
AG-SI,2727,ghs-pop-e2020
AG-SJ,55428,ghs-pop-e2020
AG-SM,6704,ghs-pop-e2020
AG-SP,7542,ghs-pop-e2020
AI-BP,647,ghs-pop-e2020
AI-DI,33,ghs-pop-e2020
AI-EE,523,ghs-pop-e2020
AI-FA,708,ghs-pop-e2020
AI-GH,1871,ghs-pop-e2020
AI-IH,729,ghs-pop-e2020
AI-NH,224,ghs-pop-e2020
AI-NS,1292,ghs-pop-e2020
AI-PP,6,ghs-pop-e2020
AI-QU,1118,ghs-pop-e2020
AI-SA,928,ghs-pop-e2020
AI-SN,232,ghs-pop-e2020
AI-SH,1523,ghs-pop-e2020
AI-SI,169,ghs-pop-e2020
AI-SO,1,ghs-pop-e2020
AI-SG,1040,ghs-pop-e2020
AI-VA,1481,ghs-pop-e2020
AI-WE,1066,ghs-pop-e2020
AL-BR,113443,ghs-pop-e2020
AL-DI,108950,ghs-pop-e2020
AL-DR,279689,ghs-pop-e2020
AL-EL,257598,ghs-pop-e2020
AL-FR,266636,ghs-pop-e2020
AL-GJ,56314,ghs-pop-e2020
AL-KO,197387,ghs-pop-e2020
AL-KU,71298,ghs-pop-e2020
AL-LE,127894,ghs-pop-e2020
AL-SH,194927,ghs-pop-e2020
AL-TI,999825,ghs-pop-e2020
AL-VL,169734,ghs-pop-e2020
AM-AR,269526,ghs-pop-e2020
AM-AV,302856,ghs-pop-e2020
AM-ER,988640,ghs-pop-e2020
AM-GE,218503,ghs-pop-e2020
AM-KT,209769,ghs-pop-e2020
AM-LO,195693,ghs-pop-e2020
AM-RG,136683,ghs-pop-e2020
AM-SH,219206,ghs-pop-e2020
AM-SU,115332,ghs-pop-e2020
AM-TA,108501,ghs-pop-e2020
AM-VD,45583,ghs-pop-e2020
AO-BGO,449060,ghs-pop-e2020
AO-BGU,2403567,ghs-pop-e2020
AO-BIE,1666854,ghs-pop-e2020
AO-CAB,1237169,ghs-pop-e2020
AO-CCU,495888,ghs-pop-e2020
AO-CNN,1438301,ghs-pop-e2020
AO-CNO,414097,ghs-pop-e2020
AO-CUS,2080015,ghs-pop-e2020
AO-HUA,2055776,ghs-pop-e2020
AO-HUI,3710927,ghs-pop-e2020
AO-LNO,1027170,ghs-pop-e2020
AO-LSU,595610,ghs-pop-e2020
AO-LUA,10062517,ghs-pop-e2020
AO-MAL,1441539,ghs-pop-e2020
AO-MOX,1383795,ghs-pop-e2020
AO-NAM,708852,ghs-pop-e2020
AO-UIG,1073213,ghs-pop-e2020
AO-ZAI,901198,ghs-pop-e2020
AR-BA,17164046,ghs-pop-e2020
AR-CA,423312,ghs-pop-e2020
AR-CB,2847017,ghs-pop-e2020
AR-CH,1182688,ghs-pop-e2020
AR-CO,3633379,ghs-pop-e2020
AR-CR,1109632,ghs-pop-e2020
AR-CU,645343,ghs-pop-e2020
AR-ER,1366039,ghs-pop-e2020
AR-FO,601062,ghs-pop-e2020
AR-JU,773140,ghs-pop-e2020
AR-ME,2051440,ghs-pop-e2020
AR-MI,1346894,ghs-pop-e2020
AR-NE,671039,ghs-pop-e2020
AR-PA,363759,ghs-pop-e2020
AR-RI,413705,ghs-pop-e2020
AR-RN,764270,ghs-pop-e2020
AR-SA,1413371,ghs-pop-e2020
AR-SC,393667,ghs-pop-e2020
AR-SE,1002371,ghs-pop-e2020
AR-SF,3644842,ghs-pop-e2020
AR-SJ,757569,ghs-pop-e2020
AR-SL,528456,ghs-pop-e2020
AR-TF,145712,ghs-pop-e2020
AR-TU,1678394,ghs-pop-e2020
AS-EA,14771,ghs-pop-e2020
AS-MA,656,ghs-pop-e2020
AS-UN,8,ghs-pop-e2020
AS-WE,25192,ghs-pop-e2020
AT-BU,293826,ghs-pop-e2020
AT-KA,565755,ghs-pop-e2020
AT-NI,1693211,ghs-pop-e2020
AT-OB,1463791,ghs-pop-e2020
AT-SA,554758,ghs-pop-e2020
AT-ST,1254475,ghs-pop-e2020
AT-TI,766492,ghs-pop-e2020
AT-VO,388223,ghs-pop-e2020
AT-WI,1926335,ghs-pop-e2020
AU-ACT,403023,ghs-pop-e2020
AU-ASC,501827,level-median
AU-CSI,501827,level-median
AU-JEB,858,ghs-pop-e2020
AU-NOR,242096,ghs-pop-e2020
AU-NSW,7819202,ghs-pop-e2020
AU-QLD,5088337,ghs-pop-e2020
AU-SAU,1749559,ghs-pop-e2020
AU-TAS,509563,ghs-pop-e2020
AU-VIC,6618768,ghs-pop-e2020
AU-WEA,2617674,ghs-pop-e2020
AX-AR,1806,ghs-pop-e2020
AX-CO,16947,ghs-pop-e2020
AX-MA,10685,ghs-pop-e2020
AZ-ABS,2942588,ghs-pop-e2020
AZ-ARA,2053753,ghs-pop-e2020
AZ-DAS,329512,ghs-pop-e2020
AZ-GAQ,1318665,ghs-pop-e2020
AZ-KAL,259668,ghs-pop-e2020
AZ-LAN,944788,ghs-pop-e2020
AZ-NAK,475228,ghs-pop-e2020
AZ-QUK,556993,ghs-pop-e2020
AZ-SHZ,637450,ghs-pop-e2020
AZ-YUK,655331,ghs-pop-e2020
BA-BRC,118140,ghs-pop-e2020
BA-FBI,2097562,ghs-pop-e2020
BA-RES,1097424,ghs-pop-e2020
BB-CHC,51312,ghs-pop-e2020
BB-SAA,4644,ghs-pop-e2020
BB-SAG,19669,ghs-pop-e2020
BB-SJO,7886,ghs-pop-e2020
BB-SAL,8194,ghs-pop-e2020
BB-SAM,82959,ghs-pop-e2020
BB-SAP,34004,ghs-pop-e2020
BB-SAT,14177,ghs-pop-e2020
BB-SAJ,29013,ghs-pop-e2020
BB-SAI,5336,ghs-pop-e2020
BB-SPE,9865,ghs-pop-e2020
BD-BA,8395846,ghs-pop-e2020
BD-CH,32458978,ghs-pop-e2020
BD-DH,46151294,ghs-pop-e2020
BD-KH,16582750,ghs-pop-e2020
BD-MY,12761509,ghs-pop-e2020
BD-RA,20676299,ghs-pop-e2020
BD-RN,17701921,ghs-pop-e2020
BD-SY,12023908,ghs-pop-e2020
BE-BRU,1223338,ghs-pop-e2020
BE-VLG,6625502,ghs-pop-e2020
BE-WAL,3693934,ghs-pop-e2020
BF-BDM,1915313,ghs-pop-e2020
BF-CAS,1015596,ghs-pop-e2020
BF-CEE,1650212,ghs-pop-e2020
BF-CEN,3313644,ghs-pop-e2020
BF-CEO,1661903,ghs-pop-e2020
BF-CES,839516,ghs-pop-e2020
BF-CNO,1706264,ghs-pop-e2020
BF-EST,1956398,ghs-pop-e2020
BF-HBA,2599029,ghs-pop-e2020
BF-NOR,1572516,ghs-pop-e2020
BF-PLC,912051,ghs-pop-e2020
BF-SAH,1457837,ghs-pop-e2020
BF-SOU,869123,ghs-pop-e2020
BG-BL,307117,ghs-pop-e2020
BG-BU,388228,ghs-pop-e2020
BG-DO,167826,ghs-pop-e2020
BG-GA,106539,ghs-pop-e2020
BG-GS,1396613,ghs-pop-e2020
BG-HA,221198,ghs-pop-e2020
BG-KA,142605,ghs-pop-e2020
BG-KY,117650,ghs-pop-e2020
BG-LO,120114,ghs-pop-e2020
BG-MO,123070,ghs-pop-e2020
BG-PA,247604,ghs-pop-e2020
