admin2_id,name,type,admin2_id_admin1,admin2_id_source
ME-SA,Šavnik,Municipality,,name
ME-TI,Tivat,Municipality,,name
ME-UL,Ulcinj,Municipality,,name
ME-ZA,Žabljak,Municipality,,name
MG-AN,Antananarivo,,,name
MG-AT,Antsiranana,,,any2
MG-FI,Fianarantsoa,,,name
MG-MA,Mahajanga,,,name
MG-TM,Toamasina,,,skeleton
MG-TO,Toliary,,,name
MH-AI,Ailinglaplap,Atol,,name
MH-AL,Ailuk,Atol,,any2
MH-AR,Arno,Atol,,name
MH-AU,Aur,Atol,,name
MH-EB,Ebon,Atol,,name
MH-EN,Enewetok,Atol,,name
MH-JA,Jaluit,Atol,,name
MH-JB,Jabat,Island,,skeleton
MH-KW,Kwajalein,Atol,,name
MH-LA,Lae,Atol,,name
MH-LB,Lib,Island,,skeleton
MH-LI,Likiep,Atol,,name
MH-MA,Majuro,Atol,,name
MH-ME,Mejit,Island,,name
MH-MI,Mili,Atol,,name
MH-ML,Maloelap,Atol,,skeleton
MH-NA,Namu,Atol,,name
MH-NM,Namorik,Atol,,skeleton
MH-UJ,Ujae,Atol,,name
MH-UT,Utirik,Atol,,name
MH-WO,Wotje,Atol,,name
MH-WT,Wotho,Atol,,skeleton
MH-XA,,Atol,,placeholder
MK-AER,Aerodrom,Municipality,,name
MK-ARA,Aracinovo,Municipality,,name
MK-BER,Berovo,Municipality,,name
MK-BIT,Bitola,Municipality,,name
MK-BOG,Bogovinje,Municipality,,name
MK-BOI,Bogdanci,Municipality,,name.ends
MK-BOS,Bosilovo,Municipality,,name
MK-BRV,Brvenica,Municipality,,name
MK-BUT,Butel,Municipality,,name
MK-CAI,Čair,Municipality,,name
MK-CAS,Čaška,Municipality,,name
MK-CEN,Centar,Municipality,,name
MK-CEO,Češinovo-Obleševo,Municipality,,compound
MK-CEZ,Centar župa,Municipality,,compound
MK-CUS,Čučer Sandevo,Municipality,,compound
MK-DEA,Debarca,Municipality,,name.ends
MK-DEB,Debar,Municipality,,name
MK-DEH,Demir Hisar,Municipality,,compound
MK-DEK,Demir Kapija,Municipality,,compound
MK-DEL,Delčevo,Municipality,,name
MK-DOL,Dolneni,Municipality,,name
MK-GAB,Gazi Baba,Municipality,,compound
MK-GEV,Gevgelija,Municipality,,name
MK-GJP,Gjorče Petrov,Municipality,,compound
MK-GOS,Gostivar,Municipality,,name
MK-GRA,Gradsko,Municipality,,name
MK-ILI,Ilinden,Municipality,,name
MK-JEG,Jegunovtse,Municipality,,name
MK-KAI,Karbinci,Municipality,,name.ends
MK-KAR,Karpoš,Municipality,,name
MK-KAV,Kavadartsi,Municipality,,name
MK-KIC,Kičevo,Municipality,,name
MK-KIV,Kisela Voda,Municipality,,compound
MK-KOC,Kočani,Municipality,,name
MK-KON,Konče,Municipality,,name
MK-KRA,Kratovo,Municipality,,name
MK-KRI,Krivogaštani,Municipality,,name
MK-KRP,Kriva Palanka,Municipality,,compound
MK-KRU,Kruševo,Municipality,,name
MK-KUM,Kumanovo,Municipality,,name
MK-LIP,Lipkovo,Municipality,,name
MK-LOZ,Lozovo,Municipality,,name
MK-MAB,Makedonski Brod,Municipality,,compound
MK-MAK,Makedonska Kamenica,Municipality,,compound
MK-MAR,Mavrovo and Rostuša,Municipality,,conjunction
MK-MOG,Mogila,Municipality,,name
MK-NEG,Negotino,Municipality,,name
MK-NOS,Novo Selo,Municipality,,compound
MK-NOV,Novatsi,Municipality,,name
MK-OHR,Ohrid,Municipality,,name
MK-PEH,Pehčevo,Municipality,,name
MK-PET,Petrovec,Municipality,,name
MK-PLA,Plasnica,Municipality,,name
MK-PRI,Prilep,Municipality,,name
MK-PRO,Probištip,Municipality,,name
MK-RAD,Radoviš,Municipality,,name
MK-RAN,Rankovce,Municipality,,name
MK-RES,Resen,Municipality,,name
MK-ROS,Rosoman,Municipality,,name
MK-SAR,Saraj,Municipality,,name
MK-SOP,Sopište,Municipality,,name
MK-STA,Strumitsa,Municipality,,name.ends
MK-STD,Star Dojran,Municipality,,compound
MK-STI,Štip,Municipality,,name
MK-STN,Staro Nagoričane,Municipality,,compound
MK-STR,Struga,Municipality,,name
MK-STU,Studeničani,Municipality,,name
MK-SUO,Šuto Orizari,Municipality,,compound
MK-SVN,Sveti Nikole,Municipality,,compound
MK-TEA,Tearce,Municipality,,name
MK-TET,Tetovo,Municipality,,name
MK-VAL,Valandovo,Municipality,,name
MK-VAS,Vasilevo,Municipality,,name
MK-VEL,Veles,Municipality,,name
MK-VEV,Vevčani,Municipality,,name
MK-VIN,Vinitsa,Municipality,,name
MK-VRA,Vrapčište,Municipality,,name
MK-ZEL,Želino,Municipality,,name
MK-ZEO,Zelenikovo,Municipality,,name.ends
MK-ZRN,Zrnovci,Municipality,,name
ML-BA,Bamako,District,,name
ML-GA,Gao,Region,,name
ML-KA,Kayes,Region,,name
ML-KI,Kidal,Region,,name
ML-KO,Koulikoro,Region,,name
ML-MO,Mopti,Region,,name
ML-SE,Ségou,Region,,name
ML-SI,Sikasso,Region,,name
ML-TI,Timbuktu,Region,,name
MM-AY,Ayeyarwady,Division,,name
MM-BA,Bago,Division,,name
MM-CH,Chin,State,,name
MM-KA,Kachin,State,,name
MM-KH,Kayah,State,,any2
MM-KY,Kayin,State,,skeleton
MM-MA,Mandalay,Division,,name
MM-MG,Magway,Division,,skeleton
MM-MO,Mon,State,,name
MM-NA,Naypyitaw,Union territory,,name
MM-RA,Rakhine,State,,name
MM-SA,Sagaing,Division,,name
MM-SH,Shan,State,,name
MM-TA,Tanintharyi,Division,,name
MM-YA,Yangon,Division,,name
MN-AR,Arhangay,Province,,name
MN-BA,Bayanhongor,Province,,name
MN-BO,Bayan-Ölgiy,Province,,initials
MN-BU,Bulgan,Province,,name
MN-DN,Dundgovi,Province,,skeleton
MN-DO,Dornod,Province,,name
MN-DR,Dornogovi,Province,,skeleton
MN-DU,Darhan-Uul,Municipality,,initials
MN-DZ,Dzavhan,Province,,name
MN-GA,Govi-Altay,Province,,initials
MN-GO,Govisümber,Municipality,,name
MN-HE,Hentiy,Province,,name
MN-HO,Hövsgöl,Province,,name
MN-HV,Hovd,Province,,skeleton
MN-OM,Ömnögovi,Province,,name
MN-OR,Orhon,Municipality,,name
MN-OV,Övörhangay,Province,,name
MN-SE,Selenge,Province,,name
MN-SU,Sühbaatar,Province,,name
MN-TO,Töv,Province,,name
MN-UL,Ulaanbaatar,Municipality,,name
MN-UV,Uvs,Province,,name
MP-NI,Northern Islands,Municipality,,initials
MP-RO,Rota,Municipality,,name
MP-SA,Saipan,Municipality,,name
MP-TI,Tinian,Municipality,,name
MQ-FD,Fort-de-France,Arrondissement,,initials
MQ-LM,Le Marin,Arrondissement,,initials
MQ-LT,Le Trinité,Arrondissement,,initials
MQ-SP,Saint-Pierre,Arrondissement,,initials
MR-AD,Adrar,Region,,name
MR-AS,Assaba,Region,,name
MR-BR,Brakna,Region,,name
MR-DN,Dakhlet Nouadhibou,Region,,initials
MR-GO,Gorgol,Region,,name
MR-GU,Guidimaka,Region,,name
MR-HE,Hodh ech Chargui,Region,,initials
MR-HO,Hodh el Gharbi,Region,,any2
MR-IN,Inchiri,Region,,name
MR-NO,Nouakchott,District,,name
MR-TA,Tagant,Region,,name
MR-TR,Trarza,Region,,name
MR-TZ,Tiris Zemmour,Region,,initials
MS-SA,Saint Anthon,Parish,,initials
MS-SG,Saint Georges,Parish,,initials
MS-SP,Saint Peter,Parish,,initials
MT-CE,Ċentrali,Region,,name
MT-GA,Għawdex,Region,,compound
MT-NO,Nofsinhar,Region,,name
MT-TR,Tramuntana,Region,,name
MT-XL,Xlokk,Region,,name
MU-AG,Agalega Islands,Region,,anchor
MU-BL,Black River,District,,anchor
MU-FL,Flacq,District,,anchor
MU-GP,Grand Port,District,,anchor
MU-MO,Moka,District,,anchor
MU-PA,Pamplemousses,District,,anchor
MU-PL,Port Louis,District,,anchor
MU-PW,Plaines Wilhems,District,,anchor
MU-RO,Rodriguez,Autonomous island,,name
MU-RR,Rivière du Rempart,District,,anchor
MU-SA,Savanne,District,,anchor
MU-SB,Saint Brandon,Region,,initials
MW-BA,Balaka,District,,anchor
MW-BL,Blantyre,District,,anchor
MW-CK,Chikwawa,District,,anchor
MW-CR,Chiradzulu,District,,anchor
MW-CT,Chitipa,District,,anchor
MW-DE,Dedza,District,,anchor
MW-DO,Dowa,District,,anchor
MW-KR,Karonga,District,,anchor
MW-KS,Kasungu,District,,anchor
MW-LI,Lilongwe,District,,anchor
MW-LK,Likoma,District,,anchor
MW-MC,Mchinji,District,,anchor
MW-MG,Mangochi,District,,anchor
MW-MH,Machinga,District,,anchor
MW-MU,Mulanje,District,,anchor
MW-MW,Mwanza,District,,anchor
MW-MZ,Mzimba,District,,anchor
MW-NB,Nkhata Bay,District,,anchor
MW-NE,Neno,District,,anchor
MW-NI,Ntchisi,District,,anchor
MW-NK,Nkhotakota,District,,anchor
MW-NS,Nsanje,District,,anchor
MW-NU,Ntcheu,District,,anchor
MW-PH,Phalombe,District,,anchor
MW-RU,Rumphi,District,,anchor
MW-SA,Salima,District,,anchor
MW-TH,Thyolo,District,,anchor
MW-ZO,Zomba,District,,anchor
MX-AG,Aguascalientes,State,,name
MX-BA,Baja California Sur,State,,any2
MX-BC,Baja California,State,,qualifier
MX-CA,Campeche,State,,name
MX-CH,Chiapas,State,,name
MX-CI,Chihuahua,State,,any2
MX-CL,Colima,State,,skeleton
MX-CO,Coahuila,State,,name
MX-DF,Distrito Federal,Federal District,,initials
MX-DU,Durango,State,,name
MX-GR,Guerrero,State,,skeleton
MX-GU,Guanajuato,State,,name
MX-HI,Hidalgo,State,,name
MX-JA,Jalisco,State,,name
MX-ME,México,State,,name
MX-MI,Michoacán,State,,name
MX-MO,Morelos,State,,name
MX-NA,Nayarit,State,,name
MX-NL,Nuevo León,State,,qualifier
MX-OA,Oaxaca,State,,name
MX-PU,Puebla,State,,name
MX-QR,Quintana Roo,State,,initials
MX-QU,Querétaro,State,,name
MX-SI,Sinaloa,State,,name
MX-SL,San Luis Potosí,State,,initials
MX-SO,Sonora,State,,name
MX-TA,Tamaulipas,State,,name
MX-TB,Tabasco,State,,skeleton
MX-TL,Tlaxcala,State,,name
MX-VE,Veracruz,State,,name
MX-YU,Yucatán,State,,name
MX-ZA,Zacatecas,State,,name
MY-JO,Johor,State,,name
MY-KD,Kedah,State,,skeleton
MY-KE,Kelantan,State,,name
MY-KL,Kuala Lumpur,Federal Territory,,initials
MY-LA,Labuan,Federal Territory,,name
MY-ME,Melaka,State,,name
MY-NS,Negeri Sembilan,State,,initials
MY-PA,Pahang,State,,name
MY-PE,Perak,State,,name
MY-PP,Pulau Pinang,State,,initials
MY-PR,Perlis,State,,skeleton
MY-PU,Putrajaya,Federal Territory,,name
MY-SA,Sabah,State,,name
MY-SE,Selangor,State,,name
MY-SR,Sarawak,State,,skeleton
MY-TR,Trengganu,State,,name
MZ-CD,Cabo Delgado,Province,,initials
MZ-GA,Gaza,Province,,name
MZ-IN,Inhambane,Province,,name
MZ-MA,Maputo City,Province,,name
MZ-MN,Manica,Province,,skeleton
MZ-MP,Maputo,Province,,skeleton
MZ-NA,Nampula,Province,,name
MZ-NS,Nassa,Province,,skeleton
MZ-SO,Sofala,Province,,name
MZ-TE,Tete,Province,,name
MZ-ZA,Zambezia,Province,,name
NA-CA,Zambezi,Region,,anchor
NA-ER,Erongo,Region,,anchor
NA-HA,Hardap,Region,,anchor
NA-KA,!Karas,Region,,anchor
NA-KH,Khomas,Region,,anchor
NA-KU,Kunene,Region,,anchor
NA-OD,Otjozondjupa,Region,,anchor
NA-OH,Omaheke,Region,,anchor
NA-OK,Kavango,Region,,anchor
NA-ON,Oshana,Region,,anchor
NA-OS,Omusati,Region,,anchor
NA-OT,Oshikoto,Region,,anchor
NA-OW,Ohangwena,Region,,anchor
NC-IL,Îles Loyauté,Province,,initials
NC-NO,Nord,Province,,name
NC-SU,Sud,Province,,name
NE-AG,Agadez,Department,,name
NE-DI,Diffa,Department,,name
NE-DO,Dosso,Department,,name
NE-MA,Maradi,Department,,name
NE-NI,Niamey,Capital District,,name
NE-TA,Tahoua,Department,,name
NE-TI,Tillabéry,Department,,name
NE-ZI,Zinder,Department,,name
NG-AB,Abia,State,,anchor
NG-AD,Adamawa,State,,anchor
NG-AK,Akwa Ibom,State,,anchor
NG-AN,Anambra,State,,anchor
NG-BA,Bauchi,State,,anchor
NG-BE,Benue,State,,anchor
NG-BO,Borno,State,,anchor
NG-BY,Bayelsa,State,,anchor
NG-CR,Cross River,State,,anchor
NG-DE,Delta,State,,anchor
NG-EB,Ebonyi,State,,anchor
NG-ED,Edo,State,,anchor
NG-EK,Ekiti,State,,anchor
NG-EN,Enugu,State,,anchor
NG-FC,Federal Capital Territory,State,,initials
NG-GO,Gombe,State,,anchor
NG-IM,Imo,State,,anchor
NG-JI,Jigawa,State,,anchor
NG-KD,Kaduna,State,,anchor
NG-KE,Kebbi,State,,anchor
NG-KN,Kano,State,,anchor
NG-KO,Kogi,State,,anchor
NG-KT,Katsina,State,,anchor
NG-KW,Kwara,State,,anchor
NG-LA,Lagos,State,,anchor
NG-NA,Nasarawa,State,,anchor
NG-NI,Niger,State,,anchor
NG-OG,Ogun,State,,anchor
NG-ON,Ondo,State,,anchor
NG-OS,Osun,State,,anchor
NG-OY,Oyo,State,,anchor
NG-PL,Plateau,State,,anchor
NG-RI,Rivers,State,,anchor
NG-SO,Sokoto,State,,anchor
NG-TA,Taraba,State,,anchor
NG-YO,Yobe,State,,anchor
NG-ZA,Zamfara,State,,anchor
NI-AN,Atlántico Norte,Autonomous Region,,initials
NI-AS,Atlántico Sur,Autonomous Region,,initials
NI-BO,Boaco,Department,,anchor
NI-CA,Carazo,Department,,anchor
NI-CI,Chinandega,Department,,anchor
NI-CO,Chontales,Department,,anchor
NI-ES,Estelí,Department,,anchor
NI-GR,Granada,Department,,anchor
NI-JI,Jinotega,Department,,anchor
NI-LE,León,Department,,anchor
NI-MD,Madriz,Department,,anchor
NI-MN,Managua,Department,,anchor
NI-MS,Masaya,Department,,anchor
NI-MT,Matagalpa,Department,,anchor
NI-NS,Nueva Segovia,Department,,anchor
NI-RI,Rivas,Department,,anchor
NI-SJ,Río San Juan,Department,,anchor
NL-DR,Drenthe,Province,,anchor
NL-FL,Flevoland,Province,,anchor
NL-FR,Fryslân,Province,,anchor
NL-GE,Gelderland,Province,,anchor
NL-GR,Groningen,Province,,anchor
NL-LI,Limburg,Province,,anchor
NL-NB,Noord-Brabant,Province,,anchor
NL-NH,Noord-Holland,Province,,anchor
NL-OV,Overijssel,Province,,anchor
NL-UT,Utrecht,Province,,anchor
NL-XA,,,,placeholder
NL-ZE,Zeeland,Province,,anchor
NO-AA,Aust-Agder,County,,initials
NO-AK,Akershus,County,,name
NO-AS,Ãstfold,County,,name
NO-BU,Buskerud,County,,name
NO-FI,Finnmark,County,,name
NO-HE,Hedmark,County,,name
NO-HO,Hordaland,County,,name
NO-MR,Møre og Romsdal,County,,compound
NO-NO,Nordland,County,,name
NO-NT,Nord-Trøndelag,County,,initials
NO-OP,Oppland,County,,name
NO-OS,Oslo,County,,name
NO-RO,Rogaland,County,,name
NO-SO,Sogn og Fjordane,County,,initials
NO-SR,Sør-Trøndelag,County,,compound
NO-TE,Telemark,County,,name
NO-TR,Troms,County,,name
NO-VA,Vest-Agder,County,,initials
NO-VE,Vestfold,County,,name
NP-CE,Central,Development Region,,name
NP-EA,East,Development Region,,name
NP-FW,Far-Western,Development Region,,initials
NP-MW,Mid-Western,Development Region,,initials
NP-WE,West,Development Region,,name
NR-AA,Anabar,District,,any2
NR-AB,Anibare,District,,any2
NR-AI,Aiwo,District,,name
NR-AN,Anetan,District,,name
NR-BA,Baiti,District,,name
NR-BO,Boe,District,,name
NR-BU,Buada,District,,name
NR-DE,Denigomodu,District,,name
NR-EW,Ewa,District,,name
NR-IJ,Ijuw,District,,name
NR-ME,Meneng,District,,name
NR-NI,Nibok,District,,name
NR-UA,Uaboe,District,,name
NR-YA,Yaren,District,,name
NZ-AU,Auckland,Region,,name
NZ-BP,Bay of Plenty,Region,,preposition.significant
NZ-CA,Canterbury,Region,,name
NZ-CI,Chatham Islands,Territory,,initials
NZ-GI,Gisborne,Region,,name
NZ-HS,Hawke's Bay,Region,,compound.alt
NZ-MA,Marlborough,Region,,name
NZ-MW,Manawatu-Wanganui,Region,,initials
NZ-NE,Nelson,Region,,name
NZ-NI,Northern Islands,Group of islands,,initials
NZ-NO,Northland,Region,,name
NZ-OT,Otago,Region,,name
NZ-SI,Southern Islands,Group of islands,,initials
NZ-SO,Southland,Region,,name
NZ-TA,Taranaki,Region,,name
NZ-TS,Tasman,Region,,skeleton
NZ-WA,Waikato,Region,,name
NZ-WC,West Coast,Region,,qualifier
NZ-WE,Wellington,Region,,name
OM-BN,Al Batinah North,Region,,initials
OM-BS,Al Batinah South,Region,,initials
OM-BU,Al Buraymi,Region,,anchor
OM-DA,Ad Dakhliyah,Region,,name
OM-DH,Dhofar,Province,,name
OM-DI,Al Dhahira,Region,,any2
OM-MS,Musandam,Province,,skeleton
OM-MU,Muscat,Province,,name
OM-SN,Ash Sharqiyah North,Region,,initials
OM-SS,Ash Sharqiyah South,Region,,initials
OM-WU,Al Wusta,Region,,anchor
PA-BT,Bocas del Toro,Province,,preposition.significant
PA-CH,Chiriquí,Province,,name
PA-CL,Coclé,Province,,skeleton
PA-CO,Colón,Province,,name
PA-DA,Darién,Province,,name
PA-EM,Emberá,Indigenous Territory,,name
PA-HE,Herrera,Province,,name
PA-KY,Kuna Yala,Indigenous Territory,,initials
PA-NB,Ngöbe Buglé,Indigenous Territory,,anchor
PA-PA,Panamá,Province,,name
PA-PO,Panamá Oeste,Province,,initials
PA-SA,Los Santos,Province,,name
PA-VE,Veraguas,Province,,name
PE-AM,Amazonas,Region,,name
PE-AN,Ancash,Region,,name
PE-AP,Apurímac,Region,,name
PE-AR,Arequipa,Region,,name
PE-AY,Ayacucho,Region,,name
PE-CA,Cajamarca,Region,,name
PE-CL,Callao,Province,,skeleton
PE-CU,Cusco,Region,,name
PE-HN,Huancavelica,Region,,skeleton
PE-HU,Huánuco,Region,,name
PE-IC,Ica,Region,,name
PE-JU,Junín,Region,,name
PE-LA,Lambayeque,Region,,name
PE-LB,La Libertad,Region,,skeleton
PE-LI,Lima Province,Province,,name
PE-LM,Lima,Region,,skeleton
PE-LO,Loreto,Region,,name
PE-MD,Madre de Dios,Region,,preposition.significant
PE-MO,Moquegua,Region,,name
PE-PA,Pasco,Region,,name
PE-PI,Piura,Region,,name
PE-PU,Puno,Region,,name
PE-SM,San Martín,Region,,initials
PE-TA,Tacna,Region,,name
PE-TU,Tumbes,Region,,name
PE-UC,Ucayali,Region,,name
PF-IA,Îles Australes,Administrative subdivisions,,initials
PF-ID,Îles du Vent,Administrative subdivisions,,initials
PF-IM,Îles Marquises,Administrative subdivisions,,initials
PF-IS,Îles Sous-le-Vent,Administrative subdivisions,,initials
PF-IT,Îles Tuamotu-Gambier,Administrative subdivisions,,initials
PG-BO,Bougainville,Autonomous Region,,name
PG-CE,Central,Province,,name
PG-CH,Chimbu,Province,,name
PG-EA,East New Britain,Province,,any2
PG-EH,Eastern Highlands,Province,,initials
PG-EN,Enga,Province,,name
PG-ES,East Sepik,Province,,qualifier
PG-GU,Gulf,Province,,name
PG-HE,Hela,Province,,name
PG-JI,Jiwaka,Province,,name
PG-MA,Madang,Province,,name
PG-MB,Milne Bay,Province,,initials
PG-MN,Manus,Province,,skeleton
PG-MO,Morobe,Province,,name
PG-NC,National Capital District,District,,initials
PG-NI,New Ireland,Province,,qualifier
PG-OR,Oro,Province,,name
PG-SA,Sandaun,Province,,name
PG-SH,Southern Highlands,Province,,initials
PG-WE,Western,Province,,name
PG-WH,Western Highlands,Province,,initials
PG-WN,West New Britain,Province,,qualifier
PH-AB,Abra,Province,1401,name
PH-AD,Agusan del Sur,Province,1603,initials
PH-AG,Agusan del Norte,Province,1602,any2
PH-AK,Aklan,Province,604,name
PH-AL,Albay,Province,505,name
PH-AN,Antique,Province,606,name
PH-AP,Apayao,Province,1481,name
PH-AU,Aurora,Province,377,name
PH-BA,Batangas,Province,410,name
PH-BE,Benguet,Province,1411,name
PH-BI,Biliran,Province,878,name
PH-BK,Bukidnon,Province,1013,skeleton
PH-BN,Batanes,Province,209,any2
PH-BO,Bohol,Province,712,name
PH-BS,Basilan,Province,1507,skeleton
PH-BT,Bataan,Province,308,skeleton
PH-BU,Bulacan,Province,314,name
PH-CA,Cavite,Province,421,name
PH-CE,Cebu,Province,722,name
PH-CG,Cagayan,Province,215,skeleton
PH-CM,Camiguin,Province,1018,skeleton
PH-CN,Camarines Norte,Province,516,initials
PH-CP,Capiz,Province,619,skeleton
PH-CS,Camarines Sur,Province,517,initials
PH-CT,Catanduanes,Province,520,skeleton
PH-CV,Compostela Valley,Province,1182,initials
PH-DA,Davao del Norte,Province,1123,any2
PH-DD,Davao del Sur,Province,1124,initials
PH-DI,Dinagat Islands,Province,1685,initials
PH-DO,Davao Oriental,Province,1125,initials
PH-ES,Eastern Samar,Province,826,initials
PH-GU,Guimaras,Province,679,name
PH-IF,Ifugao,Province,1427,name
PH-IL,Iloilo,Province,630,name
PH-IN,Ilocos Norte,Province,128,initials
PH-IO,Ilocos Sur,Province,129,any2
PH-IS,Isabela,Province,231,name
PH-KA,Kalinga,Province,1432,name
PH-LA,Laguna,Province,434,name
PH-LD,Lanao del Norte,Province,1035,initials
PH-LE,Leyte,Province,837,name
PH-LN,Lanao del Sur,Province,1536,any2
PH-LU,La Union,Province,133,initials
PH-MA,Masbate,Province,541,name
PH-MG,Maguindanao,Province,1538,skeleton
PH-MI,Misamis Occidental,Province,1042,any2
PH-MM,Metropolitan Manila,Province,,initials
PH-MN,Mountain Province,Province,1444,skeleton
PH-MO,Misamis Oriental,Province,1043,initials
PH-MR,Marinduque,Province,1740,skeleton
PH-NC,North Cotabato,Province,1247,qualifier
PH-NE,Nueva Ecija,Province,349,initials
PH-NG,Negros Oriental,Province,746,any2
PH-NO,Negros Occidental,Province,645,initials
PH-NS,Northern Samar,Province,848,initials
PH-NV,Nueva Vizcaya,Province,250,initials
PH-OC,Occidental Mindoro,Province,1751,any2
PH-OM,Oriental Mindoro,Province,1752,initials
PH-PA,Pangasinan,Province,155,name
PH-PL,Palawan,Province,1753,skeleton
PH-PM,Pampanga,Province,354,skeleton
PH-QR,Quirino,Province,257,skeleton
PH-QU,Quezon,Province,456,name
PH-RI,Rizal,Province,458,name
PH-RO,Romblon,Province,1759,name
PH-SA,Sarangani,Province,1280,name
PH-SC,South Cotabato,Province,1263,qualifier
PH-SD,Surigao del Sur,Province,1668,initials
PH-SI,Siquijor,Province,761,name
PH-SK,Sultan Kudarat,Province,1265,initials
PH-SL,Southern Leyte,Province,864,initials
PH-SM,Samar,Province,860,skeleton
PH-SO,Sorsogon,Province,562,name
PH-SR,Surigao del Norte,Province,1667,any2
PH-SU,Sulu,Province,1566,name
PH-TA,Tarlac,Province,369,name
PH-TT,Tawi-Tawi,Province,1570,initials
PH-ZA,Zambales,Province,371,name
PH-ZD,Zamboanga del Sur,Province,973,initials
PH-ZM,Zamboanga del Norte,Province,972,any2
PH-ZS,Zamboanga Sibugay,Province,983,initials
PK-BA,Balochistan,Province,,anchor
PK-FA,Federally Administered Tribal Ar,Territory,,initials
PK-IS,Islamabad,Capital Territory,,anchor
PK-KP,Khyber-Pakhtunkhwa,Province,,anchor
PK-PB,Punjab,Province,,anchor
PK-SD,Sindh,Province,,anchor
PL-DO,Dolnośląskie,Voivodeship,,name
PL-KP,Kujawsko-Pomorskie,Voivodeship,,initials
PL-LB,Lubuskie,Voivodeship,,skeleton
PL-LU,Lubelskie,Voivodeship,,name
PL-MA,Mazowieckie,Voivodeship,,name
PL-MO,Małopolskie,Voivodeship,,initials
PL-OD,Łódzkie,Voivodeship,,name
PL-OP,Opolskie,Voivodeship,,name
PL-PD,Podlaskie,Voivodeship,,skeleton
PL-PM,Pomorskie,Voivodeship,,skeleton
PL-PO,Podkarpackie,Voivodeship,,name
PL-SL,Śląskie,Voivodeship,,name
PL-SW,Świętokrzyskie,Voivodeship,,name
PL-WI,Wielkopolskie,Voivodeship,,name
PL-WM,Warmińsko-Mazurskie,Voivodeship,,initials
PL-ZA,Zachodniopomorskie,Voivodeship,,name
PM-ML,Miquelon-Langlade,Commune,,initials
PM-SP,Saint-Pierre,Commune,,initials
PR-AB,Aguas Buenas,Municipality,,initials
PR-AD,Adjuntas,Municipality,,name
PR-AG,Aguadilla,Municipality,,name
PR-AI,Aibonito,Municipality,,name
PR-AN,Añasco,Municipality,,name
PR-AO,Arroyo,Municipality,,any2
PR-AR,Arecibo,Municipality,,name
PR-AU,Aguada,Municipality,,any2
PR-BA,Bayamón,Municipality,,name
PR-BC,Barceloneta,Municipality,,any2
PR-BR,Barranquitas,Municipality,,skeleton
PR-CA,Carolina,Municipality,,name
PR-CB,Ceiba,Municipality,,skeleton
PR-CE,Comerío,Municipality,,any2
PR-CG,Caguas,Municipality,,skeleton
PR-CI,Cidra,Municipality,,name
PR-CL,Ciales,Municipality,,skeleton
PR-CM,Camuy,Municipality,,skeleton
PR-CN,Canóvanas,Municipality,,skeleton
PR-CO,Coamo,Municipality,,name
PR-CR,Cabo Rojo,Municipality,,initials
PR-CT,Cataño,Municipality,,skeleton
PR-CU,Culebra,Municipality,,name
PR-CY,Cayey,Municipality,,skeleton
PR-CZ,Corozal,Municipality,,any2
PR-DO,Dorado,Municipality,,name
PR-FA,Fajardo,Municipality,,name
PR-FL,Florida,Municipality,,name
PR-GA,Guayanilla,Municipality,,any2
PR-GN,Guánica,Municipality,,skeleton
PR-GR,Gurabo,Municipality,,skeleton
PR-GU,Guaynabo,Municipality,,name
PR-GY,Guayama,Municipality,,skeleton
PR-HA,Hatillo,Municipality,,name
PR-HO,Hormigueros,Municipality,,name
PR-HU,Humacao,Municipality,,name
PR-IS,Isabela,Municipality,,name
PR-JA,Jayuya,Municipality,,name
PR-JD,Juana Díaz,Municipality,,initials
PR-JU,Juncos,Municipality,,name
PR-LA,Lares,Municipality,,name
PR-LJ,Lajas,Municipality,,skeleton
PR-LM,Las Marías,Municipality,,initials
PR-LO,Loíza,Municipality,,name
PR-LP,Las Piedras,Municipality,,initials
PR-LU,Luquillo,Municipality,,name
PR-MA,Mayagüez,Municipality,,name
PR-MI,Maricao,Municipality,,any2
PR-MN,Manatí,Municipality,,skeleton
PR-MO,Moca,Municipality,,name
PR-MR,Morovis,Municipality,,skeleton
PR-MU,Maunabo,Municipality,,any2
PR-NA,Naranjito,Municipality,,name
PR-NG,Naguabo,Municipality,,skeleton
PR-OR,Orocovis,Municipality,,name
PR-PA,Patillas,Municipality,,name
PR-PE,Peñuelas,Municipality,,name
PR-PO,Ponce,Municipality,,name
PR-QU,Quebradillas,Municipality,,name
PR-RG,Río Grande,Municipality,,initials
PR-RI,Rincón,Municipality,,name
PR-SA,Salinas,Municipality,,name
PR-SB,Sabana Grande,Municipality,,any2
PR-SG,San Germán,Municipality,,initials
PR-SI,Santa Isabel,Municipality,,initials
PR-SJ,San Juan,Municipality,,initials
PR-SL,San Lorenzo,Municipality,,initials
PR-SS,San Sebastián,Municipality,,initials
PR-TA,Toa Alta,Municipality,,initials
PR-TB,Toa Baja,Municipality,,initials
PR-TR,Trujillo Alto,Municipality,,any2
PR-UT,Utuado,Municipality,,name
PR-VA,Vega Alta,Municipality,,initials
PR-VB,Vega Baja,Municipality,,initials
PR-VI,Villalba,Municipality,,name
PR-VQ,Vieques,Municipality,,skeleton
PR-YA,Yauco,Municipality,,name
PR-YB,Yabucoa,Municipality,,skeleton
