admin_id,population,source
AE-AD-AA-AAA,3201,ghs-pop-e2020
AE-AD-AA-AAE,5028,ghs-pop-e2020
AE-AD-AA-AAF,10293,ghs-pop-e2020
AE-AD-AA-AAG,10099,ghs-pop-e2020
AE-AD-AA-AAI,4990,ghs-pop-e2020
AE-AD-AA-AAJ,10085,ghs-pop-e2020
AE-AD-AA-AAK,22910,ghs-pop-e2020
AE-AD-AA-AAL,27961,ghs-pop-e2020
AE-AD-AA-AAM,13844,ghs-pop-e2020
AE-AD-AA-AAR,4811,ghs-pop-e2020
AE-AD-AA-ABH,101,ghs-pop-e2020
AE-AD-AA-ABK,6077,ghs-pop-e2020
AE-AD-AA-ADA,392,ghs-pop-e2020
AE-AD-AA-AFA,4754,ghs-pop-e2020
AE-AD-AA-AFL,2289,ghs-pop-e2020
AE-AD-AA-AIE,4612,ghs-pop-e2020
AE-AD-AA-AJA,9710,ghs-pop-e2020
AE-AD-AA-AKH,10640,ghs-pop-e2020
AE-AD-AA-ALA,21409,ghs-pop-e2020
AE-AD-AA-ALB,19100,ghs-pop-e2020
AE-AD-AA-ALD,4395,ghs-pop-e2020
AE-AD-AA-ALF,35569,ghs-pop-e2020
AE-AD-AA-ALH,15916,ghs-pop-e2020
AE-AD-AA-ALJ,45690,ghs-pop-e2020
AE-AD-AA-ALK,33809,ghs-pop-e2020
AE-AD-AA-ALM,39901,ghs-pop-e2020
AE-AD-AA-ALN,2237,ghs-pop-e2020
AE-AD-AA-ALQ,12422,ghs-pop-e2020
AE-AD-AA-ALR,5061,ghs-pop-e2020
AE-AD-AA-ALS,34547,ghs-pop-e2020
AE-AD-AA-ALT,56539,ghs-pop-e2020
AE-AD-AA-ALW,3356,ghs-pop-e2020
AE-AD-AA-ALY,78942,ghs-pop-e2020
AE-AD-AA-AMA,29273,ghs-pop-e2020
AE-AD-AA-AMU,23968,ghs-pop-e2020
AE-AD-AA-AQI,2011,ghs-pop-e2020
AE-AD-AA-AQU,1933,ghs-pop-e2020
AE-AD-AA-ASA,9997,ghs-pop-e2020
AE-AD-AA-ASH,27992,ghs-pop-e2020
AE-AD-AA-ASJ,21840,ghs-pop-e2020
AE-AD-AA-BBS,5066,ghs-pop-e2020
AE-AD-AA-CEN,36850,ghs-pop-e2020
AE-AD-AA-DEF,12121,ghs-pop-e2020
AE-AD-AA-DHA,47684,ghs-pop-e2020
AE-AD-AA-FAH,50072,ghs-pop-e2020
AE-AD-AA-GRE,16182,ghs-pop-e2020
AE-AD-AA-HIL,46756,ghs-pop-e2020
AE-AD-AA-IND,11412,ghs-pop-e2020
AE-AD-AA-JAH,23754,ghs-pop-e2020
