admin3_id,TOWN
US-ME-PAT,Patten
US-ME-PEM,Pembroke
US-ME-PEN,Penobscot
US-ME-PER,Perham
US-ME-PEY,Perry
US-ME-PER,Peru
US-ME-PHI,Phippsburg
US-ME-PIT,Pittsfield
US-ME-PLY,Plymouth
US-ME-POL,Poland
US-ME-POR,Portland
US-ME-POW,Pownal
US-ME-PRI,Presque Isle
US-ME-PRN,Princeton
US-ME-RAN,Randolph
US-ME-RAN,Rangeley
US-ME-RAY,Raymond
US-ME-REA,Readfield
US-ME-RIC,Richmond
US-ME-ROB,Robbinston
US-ME-ROC,Rockland
US-ME-ROT,Rockport
US-ME-RBL,Roque Bluffs
US-ME-RUM,Rumford
US-ME-SAC,Saco
US-ME-STF,Saint Francis
US-ME-GEO,Saint George
US-ME-SAN,Sanford
US-ME-SCA,Scarborough
US-ME-SEA,Searsmont
US-ME-SET,Searsport
US-ME-SEB,Sebago
US-ME-SED,Sedgwick
US-ME-SHA,Shapleigh
US-ME-SID,Sidney
US-ME-SKO,Skowhegan
US-ME-SOL,Solon
US-ME-SOR,Sorrento
US-ME-SBE,South Berwick
US-ME-SBR,South Bristol
US-ME-SPO,South Portland
US-ME-STH,South Thomaston
US-ME-SOH,Southwest Harbor
US-ME-STA,Standish
US-ME-STK,Starks
US-ME-STN,Steuben
US-ME-STM,Stoneham
US-ME-STO,Stonington
US-ME-STW,Stow
US-ME-STR,Strong
US-ME-SUL,Sullivan
US-ME-SUM,Sumner
US-ME-SUR,Surry
US-ME-SWI,Swans Island
US-ME-SWA,Swanville
US-ME-SWE,Sweden
US-ME-THO,Thomaston
US-ME-THE,Thorndike
US-ME-TOD,Topsfield
US-ME-TOP,Topsham
US-ME-TRT,Tremont
US-ME-TRE,Trenton
US-ME-TRO,Troy
US-ME-TUR,Turner
US-ME-UNI,Union
US-ME-UNU,Unity
US-ME-VAN,Vanceboro
US-ME-VAS,Vassalboro
US-ME-VEA,Veazie
US-ME-VEI,Verona Island
US-ME-VIN,Vinalhaven
US-ME-WAD,Wade
US-ME-WAI,Waite
US-ME-WAL,Waldoboro
US-ME-WLS,Wales
US-ME-WAM,Waltham
US-ME-WAR,Warren
US-ME-WAN,Washburn
US-ME-WAS,Washington
US-ME-WAD,Waterford
US-ME-WAE,Waterville
US-ME-WAY,Wayne
US-ME-WLD,Weld
US-ME-WEL,Wells
US-ME-WEY,Wesley
US-ME-WBA,West Bath
US-ME-WFO,West Forks Plt
US-ME-WPA,West Paris
US-ME-WES,Westbrook
US-ME-WED,Westfield
US-ME-WEI,Westport Island
US-ME-WHI,Whitefield
US-ME-WHG,Whiting
US-ME-WHE,Whitneyville
US-ME-WIL,Wilton
US-ME-WIN,Windham
US-ME-WIW,Winslow
US-ME-WIH,Winter Harbor
US-ME-WIP,Winthrop
US-ME-WIS,Wiscasset
US-ME-WOD,Woodland
US-ME-WOK,Woodstock
US-ME-WOO,Woolwich
US-ME-YAR,Yarmouth
US-ME-YOR,York
