admin3_id,admin3_id_county
US-WY-AL,ALBANY
US-WY-BI,BIGHORN
US-WY-CM,CAMPBELL
US-WY-CB,CARBON
US-WY-CE,CONVERSE
US-WY-CK,CROOK
US-WY-FR,FREMONT
US-WY-GO,GOSHEN
US-WY-HO,HOTSPRINGS
US-WY-JO,JOHNSON
US-WY-LA,LARAMIE
US-WY-LI,LINCOLN
US-WY-NA,NATRONA
US-WY-NI,NIOBRARA
US-WY-PA,PARK
US-WY-PL,PLATTE
US-WY-SH,SHERIDAN
US-WY-SU,SUBLETTE
US-WY-SW,SWEETWATER
US-WY-TE,TETON
US-WY-UI,UINTA
US-WY-WA,WASHAKIE
US-WY-WE,WESTON
