admin3_id,admin3_id_wvgistc
US-WV-BB,WV01
US-WV-BE,WV02
US-WV-BN,WV03
US-WV-BX,WV04
US-WV-BO,WV05
US-WV-CB,WV06
US-WV-CH,WV07
US-WV-CY,WV08
US-WV-DO,WV09
US-WV-FA,WV10
US-WV-GI,WV11
US-WV-GA,WV12
US-WV-GE,WV13
US-WV-HM,WV14
US-WV-HN,WV15
US-WV-HD,WV16
US-WV-HR,WV17
US-WV-JA,WV18
US-WV-JE,WV19
US-WV-KA,WV20
US-WV-LE,WV21
US-WV-LI,WV22
US-WV-LO,WV23
US-WV-MI,WV24
US-WV-MH,WV25
US-WV-MN,WV26
US-WV-MC,WV27
US-WV-MR,WV28
US-WV-ML,WV29
US-WV-MO,WV30
US-WV-MG,WV31
US-WV-ME,WV32
US-WV-MA,WV33
US-WV-NI,WV34
US-WV-OH,WV35
US-WV-PE,WV36
US-WV-PL,WV37
US-WV-PO,WV38
US-WV-PR,WV39
US-WV-PU,WV40
US-WV-RL,WV41
US-WV-RN,WV42
US-WV-RI,WV43
US-WV-RO,WV44
US-WV-SU,WV45
US-WV-TA,WV46
US-WV-TU,WV47
US-WV-TY,WV48
US-WV-UP,WV49
US-WV-WA,WV50
US-WV-WB,WV51
US-WV-WT,WV52
US-WV-WI,WV53
US-WV-WO,WV54
US-WV-WY,WV55
