admin_id_old,admin_id_new,code,rule,provenance
AE-RK-SA,AE-RK-SAB,SAB,initials,spine
AE-RK-SB,AE-RK-SEA,SEA,compound,spine
AE-RK-SD,AE-RK-SID,SID,name,spine
AE-RK-SE,AE-RK-SAG,SAG,initials,spine
AE-RK-SH,AE-RK-SHH,SHH,compound,spine
AE-RK-SI,AE-RK-SAR,SAR,name,spine
AE-RK-SJ,AE-RK-SHJ,SHJ,compound,spine
AE-RK-SL,AE-RK-SAH,SAH,initials,spine
AE-RK-SM,AE-RK-SHA,SHA,compound,spine
AE-RK-SO,AE-RK-SOU,SOU,name,spine
AE-RK-SQ,AE-RK-SAQ,SAQ,initials,spine
AE-RK-SR,AE-RK-SAU,SAU,initials,spine
AE-RK-SS,AE-RK-SES,SES,compound,spine
AE-RK-SU,AE-RK-SUB,SUB,name,spine
AE-RK-UH,AE-RK-SUH,SUH,name,spine
AE-RK-WA,AE-RK-WAA,WAA,compound,spine
AE-SH-AA,AE-SH-AAB,AAB,compound.alt,spine
AE-SH-AB,AE-SH-ABD,ABD,initials,spine
AE-SH-AD,AE-SH-ASI,ASI,initials,spine
AE-SH-AE,AE-SH-AGH,AGH,compound.alt,spine
AE-SH-AF,AE-SH-AFA,AFA,compound.alt,spine
AE-SH-AG,AE-SH-ALG,ALG,compound,spine
AE-SH-AH,AE-SH-ALH,ALH,compound,spine
AE-SH-AI,AE-SH-AIR,AIR,name,spine
AE-SH-AJ,AE-SH-ALJ,ALJ,compound,spine
AE-SH-AK,AE-SH-AKS,AKS,initials,spine
AE-SH-AL,AE-SH-ALL,ALL,compound,spine
AE-SH-AM,AE-SH-AMA,AMA,compound.alt,spine
AE-SH-AN,AE-SH-ALN,ALN,compound,spine
AE-SH-AO,AE-SH-AGO,AGO,compound.alt,spine
AE-SH-AQ,AE-SH-AQA,AQA,compound.alt,spine
AE-SH-AR,AE-SH-ARW,ARW,initials,spine
AE-SH-AS,AE-SH-ABS,ABS,compound,spine
AE-SH-AT,AE-SH-ALT,ALT,compound,spine
AE-SH-AU,AE-SH-AAL,AAL,sequential,spine
AE-SH-AW,AE-SH-ALS,ALS,compound,spine
AE-SH-AY,AE-SH-AYA,AYA,compound.alt,spine
AE-SH-AZ,AE-SH-ALA,ALA,compound,spine
AE-SH-BE,AE-SH-BEA,BEA,compound,spine
AE-SH-BT,AE-SH-BUT,BUT,compound,spine
AE-SH-DA,AE-SH-DAH,DAH,initials,spine
AE-SH-DS,AE-SH-DAS,DAS,name,spine
AE-SH-EI,AE-SH-EMI,EMI,compound,spine
AE-SH-FI,AE-SH-FLA,FLA,name,spine
AE-SH-HS,AE-SH-HAS,HAS,compound,spine
AE-SH-IA,AE-SH-IND,IND,name,spine
AE-SH-KA,AE-SH-KAL,KAL,name,spine
AE-SH-KF,AE-SH-KHF,KHF,compound,spine
AE-SH-LA,AE-SH-ALM,ALM,compound,spine
AE-SH-LB,AE-SH-ASA,ASA,compound.alt,spine
AE-SH-LE,AE-SH-AKH,AKH,compound.alt,spine
AE-SH-LF,AE-SH-ALF,ALF,compound,spine
AE-SH-LG,AE-SH-AAH,AAH,sequential,spine
AE-SH-LH,AE-SH-AHS,AHS,initials,spine
AE-SH-LI,AE-SH-ANE,ANE,compound.alt,spine
AE-SH-LK,AE-SH-ALK,ALK,compound,spine
AE-SH-LL,AE-SH-ARE,ARE,initials,spine
AE-SH-LM,AE-SH-AAN,AAN,sequential,spine
AE-SH-LN,AE-SH-ANA,ANA,initials,spine
AE-SH-LO,AE-SH-ANO,ANO,compound.alt,spine
AE-SH-LQ,AE-SH-ALQ,ALQ,compound,spine
AE-SH-LR,AE-SH-AAO,AAO,sequential,spine
AE-SH-LS,AE-SH-AMU,AMU,compound.alt,spine
AE-SH-LT,AE-SH-ADR,ADR,sequential,spine
AE-SH-LU,AE-SH-AAZ,AAZ,sequential,spine
AE-SH-LY,AE-SH-ABA,ABA,sequential,spine
AE-SH-MA,AE-SH-MAY,MAY,name,spine
AE-SH-MC,AE-SH-MUC,MUC,compound,spine
AE-SH-MS,AE-SH-MUS,MUS,compound,spine
AE-SH-MU,AE-SH-MUW,MUW,name,spine
AE-SH-NA,AE-SH-ABU,ABU,sequential,spine
AE-SH-NH,AE-SH-NAH,NAH,name,spine
AE-SH-QA,AE-SH-ADI,ADI,sequential,spine
AE-SH-RA,AE-SH-ALR,ALR,compound,spine
AE-SH-RF,AE-SH-ARI,ARI,compound.alt,spine
AE-SH-RI,AE-SH-ARA,ARA,initials,spine
AE-SH-RR,AE-SH-AES,AES,sequential,spine
AE-SH-SA,AE-SH-SAM,SAM,name,spine
AE-SH-SB,AE-SH-ASH,ASH,compound.alt,spine
AE-SH-SE,AE-SH-ASE,ASE,compound.alt,spine
AE-SH-SH,AE-SH-SHA,SHA,name,spine
AE-SH-SP,AE-SH-SHP,SHP,compound,spine
AE-SH-SR,AE-SH-AFH,AFH,sequential,spine
AE-SH-SU,AE-SH-ASS,ASS,initials,spine
AE-SH-SZ,AE-SH-SAZ,SAZ,compound,spine
AE-SH-TA,AE-SH-ATA,ATA,initials,spine
AE-SH-UA,AE-SH-UMA,UMA,compound,spine
AE-SH-UC,AE-SH-UNI,UNI,name,spine
AE-SH-WS,AE-SH-WAS,WAS,compound,spine
AE-SH-YA,AE-SH-ALY,ALY,compound,spine
AE-UQ-UA,AE-UQ-UA,UA,initials,spine
AF-BD-BA,AF-BD-BAH,BAH,name,spine
AF-BD-DA,AF-BD-DAR,DAR,name,cc0
AF-BD-FA,AF-BD-FAY,FAY,name,cc0
AF-BD-IK,AF-BD-ISH,ISH,name,spine
AF-BD-JU,AF-BD-JUR,JUR,name,cc0
AF-BD-KH,AF-BD-KHW,KHW,name,cc0
AF-BD-KI,AF-BD-KIS,KIS,name,cc0
AF-BD-KM,AF-BD-KWM,KWM,initials,cc0
AF-BD-RA,AF-BD-RAG,RAG,name,spine
AF-BD-SB,AF-BD-SHB,SHB,compound,cc0
AF-BD-SG,AF-BD-SHI,SHI,name,cc0
AF-BD-WA,AF-BD-WAK,WAK,name,cc0
AF-BD-ZE,AF-BD-ZEB,ZEB,name,cc0
AF-BG-AK,AF-BG-ABK,ABK,compound,cc0
AF-BG-GH,AF-BG-GHO,GHO,name,cc0
AF-BG-JA,AF-BG-JAW,JAW,name,cc0
AF-BG-MR,AF-BG-MUR,MUR,name,spine
AF-BG-MU,AF-BG-MUQ,MUQ,name,cc0
AF-BG-QD,AF-BG-QAD,QAD,name,cc0
AF-BG-QN,AF-BG-QEN,QEN,initials,cc0
AF-BK-BA,AF-BK-BAL,BAL,name,cc0
AF-BK-CB,AF-BK-CHK,CHK,name.ends,cc0
AF-BK-CK,AF-BK-CHA,CHA,name,cc0
AF-BK-CM,AF-BK-CHI,CHI,name,cc0
AF-BK-DA,AF-BK-DAW,DAW,name,cc0
AF-BK-DI,AF-BK-DIH,DIH,name,cc0
AF-BK-KA,AF-BK-KAL,KAL,name,cc0
AF-BK-KH,AF-BK-KHU,KHU,name,cc0
AF-BK-KI,AF-BK-KIS,KIS,name,cc0
AF-BK-MM,AF-BK-MAR,MAR,name,cc0
AF-BK-MS,AF-BK-MIS,MIS,initials,cc0
AF-BK-NS,AF-BK-NAS,NAS,compound,cc0
AF-BK-SL,AF-BK-SHA,SHA,name.ends,cc0
