name,admin3_id
ADAMS,US-WI-AD
ASHLAND,US-WI-AS
BARRON,US-WI-BA
BAYFIELD,US-WI-BY
BROWN,US-WI-BR
BUFFALO,US-WI-BF
BURNETT,US-WI-BU
CALUMET,US-WI-CA
CHIPPEWA,US-WI-CH
CLARK,US-WI-CL
COLUMBIA,US-WI-CO
CRAWFORD,US-WI-CR
DANE,US-WI-DA
DODGE,US-WI-DO
DOOR,US-WI-DR
DOUGLAS,US-WI-DG
DUNN,US-WI-DU
EAU CLAIRE,US-WI-EC
FLORENCE,US-WI-FL
FOND DU LAC,US-WI-FD
FOREST,US-WI-FO
GRANT,US-WI-GR
GREEN,US-WI-GE
GREEN LAKE,US-WI-GL
IOWA,US-WI-IA
IRON,US-WI-IR
JACKSON,US-WI-JA
JEFFERSON,US-WI-JE
JUNEAU,US-WI-JU
KENOSHA,US-WI-KE
KEWAUNEE,US-WI-KW
LA CROSSE,US-WI-LC
LAFAYETTE,US-WI-LF
LANGLADE,US-WI-LA
LINCOLN,US-WI-LI
MANITOWOC,US-WI-MN
MARATHON,US-WI-MA
MARINETTE,US-WI-MR
MARQUETTE,US-WI-MQ
MENOMINEE,US-WI-ME
MILWAUKEE,US-WI-MI
MONROE,US-WI-MO
OCONTO,US-WI-OC
ONEIDA,US-WI-ON
OUTAGAMIE,US-WI-OU
OZAUKEE,US-WI-OZ
PEPIN,US-WI-PE
PIERCE,US-WI-PI
POLK,US-WI-PL
PORTAGE,US-WI-PO
PRICE,US-WI-PR
RACINE,US-WI-RA
RICHLAND,US-WI-RI
ROCK,US-WI-RO
RUSK,US-WI-RU
SAUK,US-WI-SA
SAWYER,US-WI-SY
SHAWANO,US-WI-SW
SHEBOYGAN,US-WI-SH
ST. CROIX,US-WI-SC
TAYLOR,US-WI-TA
TREMPEALEAU,US-WI-TR
VERNON,US-WI-VE
VILAS,US-WI-VI
WALWORTH,US-WI-WL
WASHBURN,US-WI-WH
WASHINGTON,US-WI-WS
WAUKESHA,US-WI-WA
WAUPACA,US-WI-WP
WAUSHARA,US-WI-WU
WINNEBAGO,US-WI-WI
WOOD,US-WI-WO
