pattern,regex,complexity,active
RSx Sx Sx( Sx),^R([0-9A-Z]+) ([0-9A-Z]+) ([0-9A-Z]+)(?: ([0-9A-Z]+))?$,1,1
Sx (Sx) Sx (A),^([0-9A-Z]+) ([0-9A-Z]+)? ([0-9A-Z]+)(?: ([A-Z]))?$,2,1
Sx Sx Sx( A),^([0-9A-Z]+) ([0-9A-Z]+) ([0-9A-Z]+)(?: ([A-Z]))?$,2,1
Sx Sx Sx Sx( Sx),^([0-9A-Z]+) ([0-9A-Z]+) ([0-9A-Z]+) ([0-9A-Z]+)(?: ([0-9A-Z]+))?$,2,1
Sx Sx Sx( Sx Sx),^([0-9A-Z]+) ([0-9A-Z]+) ([0-9A-Z]+)(?: ([0-9A-Z]+) ([0-9A-Z]+))?$,2,1
Dx-Dx_Dx_(S)(-S3),^([0-9]+)-([0-9]+)_([0-9]+)_([0-9A-Z])?(?:-([0-9A-Z]{3}))?$,1,1
D3.S=D3D=D4.S,^([0-9]{3})\.([0-9A-Z])([-_])([0-9]{4})\3([0-9]{4})\.([0-9A-Z])$,2,1
S4=S4=S4,^([0-9A-Z]{4})([- ])([0-9A-Z+-]{4})\2([0-9A-Z-]{4})$,2,1
Dx=Sx=Dx,^([0-9]+)([ -])([0-9A-Z]+)\2([0-9A-Z]+)$,3,1
D3SD4D40,^([0-9]{3})([0-9A-Z])([0-9]{4})([0-9]{4})0$,1,1
D2-Ax-D3(.[S-]x),^([0-9]{2})-([A-Z]+)-([0-9]{3})(?:\.([0-9A-Z-]+))?$,1,1
D3-_D_S4_-_[S-_]x,^([0-9]{3})-_([0-9])_([0-9A-Z]{4})_-_([0-9A-Z-_]+)?$,1,1
D3_D3_S3_S3_S3,^([0-9]{3})_([0-9]{3})_([0-9A-Z]{3})_([0-9A-Z]{3})_([0-9A-Z]{3})$,1,1
D3 D3 D3 000 00,^([0-9]{3}) ([0-9]{3}) ([0-9]{3}) 000 00$,1,1
D3-D3-(A) -D5,"^([0-9]{3})-([0-9]{3})-([A-Z]{0,2})? {0,2}-([0-9]{5})$",1,1
[S-]6 [S-]6,^([0-9A-Z-]{6})  ([0-9A-Z-]{6})$,1,1
D3.S-D4(.Sx)(_Dx),^([0-9]{3})\.([0-9A-Z])-([0-9]{4})(?:\.([0-9A-Z]+))?(?:_([0-9]+))?$,1,1
A-D2_Dx_Dx_Sx,^([A-Z]-[0-9]{2})_([0-9]+)_([0-9]+)_([0A-Z]+)$,1,1
D-D2(-_D)_[S&]x(_D)(_Dx)),^([0-9]-[0-9]+)(?:-_([0-9]))?_([0-9A-Z&]+)(?:_([0-9]+))?(?:_([0-9]+))?$,1,1
D2-D-[D.]3-Sx.S,"^([0-9]{2})-([0-9])-([0-9.]{3,5})-([0-9A-Z]+\.[0-9A-Z])$",1,1
