pattern,regex,complexity,active
Sx-(S1 )( S1)-(S1 )( S1)-(S1 )( S1)-(  )Sx(-Sx),"^([0-9A-Z]{1,2})-([A-Z0-9]{1})? ? ?([0-9A-Z]{1})?-([A-Z0-9]{1})? ? ?([0-9A-Z]{1})?-([A-Z0-9]{1})? ? ?([0-9A-Z]{1})?- ? ?([0-9A-Z]{1,3})-?([0-9A-Z]{1,3})?$",1,1
Sx( )-\(\(Sx\)\)-( )Sx,"^([0-9A-Z]{1,4}) ?-\(\(([A-Z0-9]{1,2})\)\)- ?([0-9A-Z]{1,4})$",1,1
D2/ D2/ D3/ (Sx)/( D2),"^([0-9]{2})/ +([0-9]{2})/ +([0-9]{3})/ +([A-Z0-9]{1,3})?/ ?([0-9]{2})?$",1,1
D4-( )Sx-( )Sx-0000,"^([0-9]{3})- *([0-9A-Z]{1,5})- *([0-9A-Z]{1,5})-0000$",1,1
D2-D3.( A1)-D3.D2.,^([0-9]{2})-([0-9]{3})\. ?([A-Z]{1})?-([0-9]{3})\.([0-9]{2})\.$,1,1
D2/ D2(.A1)D2/ D3(.A1)/ (Sx)/D3,"^([0-9]{2})/ ([0-9]{2})(\.|[A-Z]{1})([0-9]{2})/ ([0-9]{3})(\.|[A-Z]{1})/ ([0-9A-Z]{1,3})?/([0-9]{3})$",1,1
"D2( A1),Sx-(-)D3-D2,D3","^([0-9]{2}) ?([A-Z]{1})?,([0-9A-Z]{2,3})--?([0-9]{3})-([0-9]{2}),([0-9]{3})$",1,1
D4-D3.D2-D2.D2-D3.D3( -Dx),"^([0-9]{4})-([0-9]{3})\.([0-9]{2})-([0-9]{2})\.([0-9]{2})-([0-9]{3})\.([0-9]{3}) ?-?([0-9]{2,4})?$",1,1
D6 D4-D2-D6-D4( S2),^([0-9]{6}) ([0-9]{4})-([0-9]{2})-([0-9]{6})-([0-9]{4}) ?([0-9A-Z]{2})?$,1,1
Dx.(Dx)-(Dx)-Dx(.Dx)(-Sx)( Sx),^([0-9]+)\.([0-9]+)?-([0-9]+)?-([0-9]+)(?:\.([0-9]+)?(?:[/-]([0-9A-Z]+))?)?(?: ([0-9A-Z]+))?$,4,1
D4-D2-D6-D4( S2),^([0-9]{4})-([0-9]{2})-([0-9]{6})-([0-9]{4}) ?([0-9A-Z]{2})?$,4,1
S3[A ](D3)(A),^([0-9A-Z]{3})([A-Z ])([0-9]{3})([A-Z ])?$,4,1
Dx.Dx.Dx.Dx.Dx,^([0-9]+)\.([0-9]+)\.([0-9]+)\.([0-9]+)\.([0-9]+)$,4,1
Sx Dx Dx.Dx( Dx),^([0-9A-Z]+) +([0-9]+) +([0-9]+)\.([0-9]+)(?: ([0-9]+))?$,5,1
(D2(A))D2(S)D6S(.D2),"^([0-9]{2,3}[A-Z]?)?([0-9]{2}[0-9A-Z]?)([0-9]{6}[0-9A-Z])(?:\.([0-9]{2}))?$",5,1
D6 Dx(.-Dx-Dx-Dx../-)Sx(./ -Sx),"^([0-9]{6}) ([0-9]{1,4})\.?-?([0-9]{1,3})?-?([0-9]{1,4})?-?([0-9]{1,3})?\.?\.?/?-?([0-9A-Z]{1,3})\.?/? ?-?([0-9A-Z]{1,4})?$",1,1
D2-A1-D3-S1-D2-D3-S1,^([0-9]{2})-([A-Z]{1})-([0-9]{3})-([0-9A-Z]{1})-([0-9]{2})-([0-9]{3})-([0-9A-Z]{1})$,1,1
D2-D3-D2-D2-D3(-D3),^([0-9]{2})-([0-9]{3})-([0-9]{2})-([0-9]{2})-([0-9]{3})-?([0-9]{3})?$,1,1
S3-D3-D4-D2-D3.D3,^([0-9A-Z]{3})-([0-9]{3})-([0-9]{4})-([0-9]{2})-([0-9]{3})\.([0-9]{3})?$,1,1
S2-D2-(   )Sx-S4.S4( D2),"^([0-9A-Z]{2})-([0-9]{2})- ? ? ?([0-9A-Z]{1,4})-([0-9A-Z]{4})\.([0-9A-Z]{4}) ?([0-9]{2})?$",1,1
D3(Ax) (A1 )D3(.D2),"^([0-9]{3})([A-Z]{1,3})? ([A-Z]{1})? *([0-9]{3})\.?([0-9]{2})?$",1,1
D3(A1) ( A1 ) D3.D2 D3,^([0-9]{3})([A-Z]{1})? *([A-Z]{1})? +([0-9]{3})\.([0-9]{2}) ([0-9]{3})$,1,1
D3(A1 )-D2-D2-D3.D2,^([0-9]{3})([A-Z]{1})? ?-([0-9]{2})-([0-9]{2})-([0-9]{3})\.([0-9]{2})$,1,1
Sx( )-D4-D5.D2,"^([0-9A-Z]{3,4}) ?-([0-9]{4})-([0-9]{5})\.([0-9]{2})$",1,1
D4-D2-(A1 )-(A1 ) -D3.(Sx),"^([0-9]{4})-([0-9]{2})-([A-Z]{1})? ?-([A-Z]{1})? +-([0-9]{3})\.([0-9A-Z]{1,2})?$",1,1
D3-(Sx) -D2(A1 )-D4-  -D4.D2,"^([0-9]{3})-([0-9A-Z]{1,2})? *-([0-9]{2})([A-Z]{1})? ?-([0-9]{4})-  -([0-9]{4})\.([0-9]{2})$",1,1
D3A1-D2(A1 )-D3(/D2.D2),^([0-9]{3})([A-Z]{1})-([0-9]{2})([A-Z]{1})? ?-([0-9]{3})/?([0-9]{2})?\.?([0-9]{2})?$,1,1
D1-D3(A1 )-D2-D3.D2,^([0-9]{1})-([0-9]{3})([A-Z]{1})? ?-([0-9]{2})-([0-9]{3})\.([0-9]{2})$,1,1
D3(A1 )-D2-D3.D2,^([0-9]{3})([A-Z]{1})? ?-([0-9]{2})-([0-9]{3})\.([0-9]{2})$,1,1
D1-D3-D2-D3-D3.D2,^([0-9]{1})-([0-9]{4})-([0-9]{2})-([0-9]{3})-([0-9]{3})\.([0-9]{2})$,1,1
Sx(-Sx-S1),"^([0-9A-Z]{7,12})-?([0-9A-Z]{1,3})?-?([0-9A-Z]{1})?$",1,1
D10.D2(A1 D2),^([0-9]{10})\.([0-9]{2})([A-Z]{1})? ?([0-9]{2})?$,1,1
S3-S3-S4(.Sx.Sx.S2.S1),"^([0-9A-Z]{3})-([0-9A-Z]{3})-([0-9A-Z]{4})\.?([0-9A-Z]{2,3})?\.?([0-9]{2,3})?\.?([0-9A-Z]{2})?\.?([0-9A_Z]{1})?$",1,1
aD9,^a([0-9]{9})$,1,1
D4-D2-S3-S3-S1-S3-D2,^([0-9]{4})-([0-9]{2})-([0-9A-Z]{3})-([0-9A-Z]{3})-([0-9A-Z]{1})-([0-9A-Z]{3})-([0-9]{2})$,1,1
Aax Dx.(A1)-Dx-Dx(.Dx),"^([A-Za-z]+) ([0-9]{1,2})\.([A-Z]{1})?-([0-9]{1,2})-([0-9]{1,2})\.?([0-9]{1,2})?$",1,1
Dx.(A1)-Dx-Dx(.Dx Dx),"^([0-9]{1,2})\.([A-Z]{1})?-([0-9]{1,2})-([0-9]{1,2})\.?([0-9]{1,2})? ?([0-9]{1,2})?$",1,1
D3.D2-D1-Dx(.Dx D2),"^([0-9]{3})\.([0-9]{2})-([0-9]{1})-([0-9]{1,2})\.?([0-9]{1,2})? ?([0-9]{2})?$",1,1
D6-Dx.D1-Dx(.Dx),"^([0-9]{6})-([0-9]{1,3})\.-([0-9]{1})-([0-9]{1,2})\.?([0-9]{1,3})?$",1,1
D6 D2-D1-D2(.Dx),"^([0-9]{6}) ([0-9]{2})-([0-9]{1})-([0-9]{2})\.?([0-9]{1,3})?$",1,1
D5.S3.S3.S2,^([0-9]{5})\.([0-9A-Z]{3})\.([0-9A-Z]{3})\.([0-9A-Z]{2})$,1,1
D3.D2-D2-D2(.D2-0000),^([0-9]{3})\.([0-9]{2})-([0-9]{2})-([0-9]{2})\.?([0-9]{2})?-?(0000)?$,1,1
D2-D2-D1.D1-D2-D1-D3-D3.D2,^([0-9]{2})-([0-9]{2})-([0-9]{1})\.([0-9]{1})-([0-9]{2})-([0-9]{1})-([0-9]{3})-([0-9]{3})\.([0-9]{2})$,1,1
D2-D2-D1.D1-D2-D3-D3-D3.D3,^([0-9]{2})-([0-9]{2})-([0-9]{1})\.([0-9]{1})-([0-9]{2})-([0-9]{3})-([0-9]{3})-([0-9]{3})\.([0-9]{3})$,1,1
D3.D3.D4.D7.D3,^([0-9]{3})\.([0-9]{3})\.([0-9]{4})\.([0-9]{7})\.([0-9]{3})$,1,1
D2 D1.D1 D2.D1 D3.D1 D3 D3.D3,^([0-9]{2}) ([0-9]{1})\.([0-9]{1}) ([0-9]{2})\.([0-9]{1}) ([0-9]{3})\.([0-9]{1}) ([0-9]{3}) ([0-9]{3})\.([0-9]{3})$,1,1
D2-D2.D1-D1-D2-D3.D3.D3,^([0-9]{2})-([0-9]{2})\.([0-9]{1})-([0-9]{1})-([0-9]{2})-([0-9]{3})\.([0-9]{3})\.([0-9]{3})$,1,1
D2-D3-D2-D2-D3.D2,^([0-9]{2})-([0-9]{3})-([0-9]{2})-([0-9]{2})-([0-9]{3})\.([0-9]{2})$,1,1
D3.D2.D2.D1.D2.D3.D3,^([0-9]{3})\.([0-9]{2})\.([0-9]{2})\.([0-9]{1})\.([0-9]{2})\.([0-9]{3})\.([0-9A-Z]{3})$,1,1
D2-D1.D1-Dx-(Dx-D2-Dx.D2),"^([0-9]{2})-([0-9]{1})\.([0-9]{1})-([0-9]{1,2})-([0-9]{1,2})?-?([0-9]{2})-?([0-9]{2,3})?\.?([0-9]{2})?$",1,1
Dx(.-Dx.-Dx),^([0-9]+)\.?-?([0-9])\.?-?([0-9]*)\.?-?([0-9]*)$,1,1
R-D3-D4-D4.0,^R-([0-9]{3})-([0-9]{4})-([0-9]{4})\.0$,1,1
(A1)D3( A1)Dx,"^([A-Z]{1})?([0-9]{3}) ?([A-Z]{1})?([0-9]{7,9})$",1,1
D2/D2/D3/D3,^([0-9]{2})/([0-9]{2})/([0-9]{3})/([0-9]{3})$,1,1
Dx-Dx-Dx-Dx-Dx(-Dx),^([0-9]+)-([0-9]+)-([0-9]+)-([0-9]+)-([0-9]+)-?([0-9]+)?$,1,1
S3-D2-D2-D2-S2-D3-D2,^([0-9A-Z]{3})-([0-9]{2})-([0-9]{2})-([0-9]{2})-([0-9A-Z]{2})-([0-9]{3})-([0-9]{2})$,1,1
\-D1- D3 S3 S-5,^-([0-9]{1})- ([0-9]{3}) ([0-9A-Z]{3}) ([0-9A-Z-]{5})$,1,1
D2 Sx Sx(-Sx),"^([0-9]{2}) ([0-9A-Z]{2,5}) +([0-9A-Z]{1,5})-?([0-9A-Z]{1,3})?$",1,1
D5_Sx(-Sx),"^([0-9]{5})_([0-9A-Z]{4,8})-?([0-9A-Z]{1,4})?$",1,1
Sx (D1 S1 )Sx,"^([0-9A-Z]{1,3}) +([0-9]{1})? *([0-9A-Z]{1})? *([0-9A-Z]{1,3})$",1,1
D3.D3.D1( )Dx.(Sx),"^([0-9]{3})\.([0-9]{3})\.([0-9]{1}) *([0-9]{3,8})\.([0-9A-Z]{1,3})?$",1,1
D2-D1.D1-D2.D1-D1-D3-D3.(Sx),"^([0-9]{2})-([0-9]{1})\.([0-9]{1})-([0-9]{2})\.([0-9]{1})-([0-9]{1})-([0-9]{3})-([0-9]{3})\.([0-9A-Z]{1,3})?$",1,1
Sx( )-D2-D3.D3,"^([0-9A-Z]{3,4}) ?-([0-9]{2})-([0-9]{3})\.([0-9]{3})$",1,1
S1(-)Sx( )-S3-Sx,"^([A-Z]{1})-?([0-9A-Z]{4,5}) *?-([0-9A-Z]{3})-([0-9A-Z]{3,4})$",1,1
D3.D2-D2-D2(.D3 )-,^([0-9]{3})\.([0-9]{2})-([0-9]{2})-([0-9]{2})\.?([0-9]{3})? *?-$,1,1
S4-D2-S3-S3-S1-S3-D2,^([0-9A-Z]{4})-([0-9]{2})-([0-9A-Z]{3})-([0-9A-Z]{3})-([0-9A-Z]{1})-([0-9A-Z]{3})-([0-9]{2})$,1,1
S4-S3-S3-D2-D1-D3-D2,^([0-9A-Z]{4})-([0-9A-Z]{3})-([0-9A-Z]{3})-([0-9]{2})-([0-9]{1})-([0-9]{3})-([0-9]{2})$,1,1
013-RD2.D2.D2.D3.D3,^013-(R[0-9]{2})\.([0-9]{2})\.([0-9]{2})\.([0-9]{3})\.([0-9]{3})$,1,1
D2-0-D1-Dx-D1-Dx-Dx(-.Dx),"^([0-9]{1,2})-(0)\.([0-9]{1})-([0-9]{1,2})-([0-9]{1})-([0-9]{1,2})-([0-9]{1,3})-?\.?([0-9]{1,3})?$",1,1
PARCEL_ID2 Sx( )-D4-D5.D2 LANDUSE1,"^PARCEL_ID2 ([0-9A-Z]{3,4}) ?-([0-9]{4})-([0-9]{5})\.([0-9]{2}) LANDUSE1",1,1
D2-D3-D3.D1-D3.D2,^([0-9]{2})-([0-9]{3})-([0-9]{3})\.([0-9]{1})-([0-9]{3})\.([0-9]{2})$,1,1
D4( A1)S7,^([0-9]{4}) ?([A-Z]{1})?([0-9A-Z]{7})$,1,1
D4(  Ax)S8,"^([0-9]{4}) ? ?([A-Z]{1,2})?([0-9A-Z]{8})$",1,1
D2-D2-Sx( )-Sx,"^([0-9]{2})-([0-9]{2})-([0-9A-Z]{4,5}) ?-([0-9A-Z]{3,4})$",1,1
D10( A1)D3(A1),^([0-9]{10}) ?([A-Z]{1})?([0-9]{3})([A-Z]{1})?$,1,1
D2 D3 D2 D4 D3,^([0-9]{2}) ([0-9]{3}) ([0-9]{2}) ([0-9]{4}) ([0-9]{3})$,1,1
29D3(Sx)(_.Sx)(-.Sx)(-Sx)(-Sx),"^29([0-9]{3})([0-9A-Z]{3,5})?((?:_)[0-9A-Z]{1,4})?((?:\.)[0-9]{1,4})?((?:-)[0-9A-Z]{1,3})?((?:-)[0-9A-Z]{1,3})?((?:-)[0-9A-Z]{1,3})?$",1,1
U228 M:2182 B:D5 L:D1,^U228 M:2182 B:([0-9]{5}) L:([0-9]{1})$,1,1
S4 M: D4 B: D5 L:D1,^([0-9A-Z]{4}) M:([0-9]{4}) B:([0-9]{5}) L:([0-9]{1})$,1,1
D2\D3.D3,^([0-9]{2})\\([0-9]{3})\.([0-9]{3})$,1,1
Dx(.D1)/Dx(.Sx),"^([0-9]{1,2})\.?([0-9]{1})?/([0-9]{1,3})\.?([A-Z0-9]{1,3})?$",1,1
D3/Sx/Sx(-Sx),"^([0-9]{3})/([0-9A-Z]{3,4})/([0-9A-Z]{3,4})-?([0-9A-Z]{1,2})?$",1,1
Dx/Dx/Sx( -Sx),"^([0-9]{1,2})/([0-9]{1,2})/([0-9A-Z]{1,3}) ?-?([0-9A-Z]{1,3})?$",1,1
D3/Sx(-Sx-S1),"^([0-9]{3})/([A-Z0-9]{1,3})-?([0-9A-Z]{1,3})?-?([0-9A-Z]{1})?$",1,1
Dx-Sx( S1)-Dx(-Dx),"^([0-9]{1,2})-([A-Z0-9]{1,5}) ?([A-Z]{1})?-([0-9]{1,2})-?([0-9]{1,2})?$",1,1
D3 D3 D3 D4-D1,^([0-9]{3}) ([0-9]{3}) ([0-9]{3}) ([0-9]{4})-([0-9]{1})$,1,1
D6 Dx.A1/D1/Dx(.-Sx-Sx),"^([0-9]{6}) ([0-9]{1,2})\.([A-Z]{1})?/([0-9]{1})/([0-9]{1,3})\.?-?([0-9A-Z]{1,2})?-?([A-Z0-9]{1,2})?$",1,1
\-D1- D2 S3 S-5,^-([0-9]{1})- ([0-9]{3}) ([0-9A-Z]{3}) ([0-9A-Z-]{5})$,1,1
D3-S2-S2-S2 -S3-Sx,"^([0-9]{3})-([A-Z0-9 ]{2})-([0-9A-Z ]{2})-([0-9A-Z ]{2}) -([0-9A-Z ]{3})-([0-9A-Z- ]{4,6})$",1,1
S2-Sx-D2-S2-D2-S3-Sx,"^([0-9A-Z]{2})-([A-Z0-9]{1,2})-([0-9]{2})-([0-9A-Z]{2})-([0-9]{2})-([0-9A-Z]{3})-([0-9A-Z]{1,3})$",1,1
Dx-(Sx)\(Dx\)(Sx)--Sx-(Sx),"^([0-9]{1,2})-([A-Z0-9]{1,2})?\(([0-9]{1,2})\)([0-9A-Z]{1,2})?--([0-9A-Z]{1,3})-([A-Z0-9]{1,2})?$",1,1
D3-D2-D1-D2-D2-D3.D2-S1( D2),^([0-9]{3})-([0-9]{2})-([0-9]{1})-([0-9]{2})-([0-9]{2})-([0-9]{3})\.([0-9]{2})-([0-9A-Z]{1}) ?([0-9]{2})?$,1,1
Sx-Sx.Sx-Sx-Sx-Sx-Sx.Sx,^([0-9A-Z]+)-([0-9A-Z]+)\.([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z]+)\.([0-9A-Z]+)$,1,1
D2 D2 D2 D1 D3 D3.Dx,^([0-9]{2}) ([0-9]{2}) ([0-9]{2}) ([0-9]{1}) ([0-9]{3}) ([0-9]{3})\.([0-9]+)$,1,1
Dx-Dx-Dx-Dx-Dx-Dx(-Dx)(.Dx)(.Dx),^([0-9]+)-([0-9]+)-([0-9]+)-([0-9]+)-([0-9]+)-([0-9]+)(?:-([0-9]+))?(?:\.([0-9]+))?(?:\.([0-9]+))?$,1,1
Dx-Dx-Dx-Dx-Dx-Dx(-Dx)(.Dx)(-Sx)( Dx),^([0-9]+)-([0-9]+)-([0-9]+)-([0-9]+)-([0-9]+)-([0-9]+)(?:-([0-9]+))?(?:\.([0-9]+))?(?:-([0-9A-Z]+))?(?: ([0-9]+))?$,1,1
Sx-Sx-Sx-Sx-Sx-Sx-Sx,^([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z]+)$,1,1
Sx Sx Sx Sx( Sx Sx Sx)|Sx-Sx-Sx-Sx,^([0-9A-Z]+) ([0-9A-Z]+) ([0-9A-Z]+) ([0-9A-Z]+)(?: ([0-9A-Z]+))?(?: ([0-9A-Z]+))?(?: ([0-9A-Z]+))?$|^([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z]+)$,4,1
Sx Sx Sx Sx( Sx Sx Sx),^([0-9A-Z]+) ([0-9A-Z]+) ([0-9A-Z]+) ([0-9A-Z]+)(?: ([0-9A-Z]+))?(?: ([0-9A-Z]+))?(?: ([0-9A-Z]+))?$,3,1
Dx-Dx-Dx-Dx(-Dx-Dx-Dx),^([0-9]+)-([0-9]+)-([0-9]+)-([0-9]+)(?:-([0-9]+))?(?:-([0-9]+))?(?:-([0-9]+))?$,2,1
Sx-Sx-Sx-Sx(-Sx-Sx.Sx),^([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z]+)(?:-([0-9A-Z]+))?(?:-([0-9A-Z]+))?\.?([0-9A-Z]+)?$,5,1
Dx Dx Dx Dx Dx Dx.Dx,([0-9]+) ([0-9]+) ([0-9]+) ([0-9]+) ([0-9]+) ([0-9]+)\.([0-9]+)$,1,1
Sx (Dx Sx) Sx,^([0-9A-Z]+)(?: +([0-9]+))?(?: +([0-9A-Z]+))? +([0-9A-Z]+)$,2,1
D2-D3.( A1)-D3.S3,"^([0-9]{2})-([0-9]{3})\. ?([A-Z]{1})?-([0-9]{3})\.([0-9A-Z]{3}) ([0-9]{3,6})$",1,1
Dx- Sx- Sx- Sx- Sx(- Sx),"^([0-9]{1,2})-([ 0-9A-Z]{2})-([ 0-9A-Z]{2})-([ 0-9A-Z]{1,2})-([ 0-9A-Z]+)(?:-([ 0-9A-Z]+))?$",2,1
D3.D3.D11.D2,^([0-9]{3})\.([0-9]{3})\.([0-9]{11})\.([0-9]{2})$,1,1
D4( A1)Dx,"^([0-9]{4}) ?([A-Z]{1})?([0-9A-Z]{6,7})$",2,1
Dx -Sx -Sx( |Sx)(S1)-Sx-,"^([0-9]{2,3}) -([0-9A-Z]{1,2}) -([0-9A-Z]{1,2})(?: |([0-9A-Z]{1,2}))([0-9A-Z]{1})?-([0-9A-Z ,-]+)$",1,1
Sx-\(Dx\)(-Sx)-Sx(-Sx),"^([0-9A-Z]{1,3})-\(([0-9]{1,2})\)(?:-([A-Z0-9 ]{3,6}))?-([0-9A-Z]{1,4})([0-9A-Z-]+)?$",1,1
D3/D3.D1-D4-D4-S1,^([0-9]{3})/([0-9]{3})\.([0-9]{1})-([0-9]{4})-([0-9]{4})\.([0-9A-Z]{1})$,1,1
Dx.S1_Dx.Sx,"^([0-9]{1,2})\.([0-9A-Z]{1})_([0-9]{1,3})\.([0-9A-Z]{1,2})$",1,1
Sx-[S.]x(-Sx)(-Sx)(-S.x),^([0-9A-Z]+)-([0-9A-Z.]+)(?:-([0-9A-Z]+))?(?:-([0-9A-Z]+))?(?:-([0-9A-Z.]+))?$,5,1
\(D3\) S.-x,^\(([0-9]{3})\) ([A-Z0-9-\.]+)$,1,1
S3/S3/D3/D.5,^([0-9A-Z]{3})/([0-9A-Z]{3})/([0-9]{3})/([A-Z0-9.]{5})$,1,1
Sx\(S2\) Sx,^([0-9A-Z]+)\(([ 0-9A-Z]{2})\) +([0-9A-Z ]+)$,1,1
