pattern,code
Dx-Dx-Dx-Dx-Dx-Dx(-Dx)(.Dx)(.Dx),drop_cols: 0 7 & keep_length: 1 1 1 1 1 & merge_after: 1 2 3 3 4 5 & skip_empty: 1
Dx-Dx-Dx-Dx-Dx-Dx(-Dx)(.Dx)(.Dx),drop_cols: 6 & keep_length: 1 2 3 4 & merge_after: 0 0 0 0 0 & skip_empty: 1
Dx-Dx-Dx-Dx-Dx-Dx(-Dx)(.Dx)(.Dx),drop_cols: 7 & keep_length: 1 2 3 4 5 6 & merge_after: 0 0 0 0 0 0 & skip_empty: 1
Dx-Dx-Dx-Dx-Dx-Dx(-Dx)(.Dx)(.Dx),keep_length: 1 2 3 4 5 6 & merge_after: 0 0 0 0 0 0 & skip_empty: 1
Dx-Dx-Dx-Dx-Dx-Dx(-Dx)(.Dx)(.Dx),keep_length: 1 2 3 4 5 6 7 & merge_after: 0 0 0 0 0 0 0 & skip_empty: 1
Dx-Dx-Dx-Dx-Dx-Dx(-Dx)(.Dx)(.Dx),keep_length: 1 3 4 5 7 & merge_after: 0 0 0 0 0 6 & skip_empty: 1
Dx-Dx-Dx-Dx-Dx-Dx(-Dx)(.Dx)(.Dx),skip_empty: 1
Dx-Dx-Dx-Dx-Dx-Dx(-Dx)(.Dx)(.Dx),split_groups: 2|3 4|2 & skip_empty: 1
Dx-Dx-Dx-Dx-Dx-Dx(-Dx)(.Dx)(.Dx),split_groups: 6|3 & drop_cols: 0 & skip_empty: 1
Dx-Dx-Dx-Dx-Dx-Dx(-Dx)(.Dx)(.Dx),switch: 0|2 & skip_empty: 1
Dx-Dx-Dx-Dx-Dx-Dx.Dx,keep_length: 1 2 3 4 5 6 & merge_after: 0 0 0 0 0 0 & skip_empty: 1
Dx-Dx-Dx-Dx-Dx-Dx.Dx,skip_empty: 1
Dx-Dx-Dx-Dx-Dx.Dx-Dx,skip_empty: 1
Dx-Dx-Dx-Dx.Dx( Dx),drop_cols: 5 & skip_empty: 1
Dx-Dx-Dx-Dx.Dx( Dx),skip_empty: 1
Dx-Dx_Dx_(S)(-S3),skip_empty: 1
Dx-Sx[ ]-Dx([- ]Dx),drop_cols: 3 & skip_empty: 1
Dx-Sx[ ]-Dx([- ]Dx),split_groups: 2|2 & drop_cols: 2_1 & skip_empty: 1
Dx.(A1)-Dx-Dx(.Dx Dx),merge_after: 4 & skip_empty: 1
Dx.(A1)-Dx-Dx(.Dx Dx),skip_empty: 1
Dx.(Dx)-(Dx)-Dx(.Dx)(-Sx)( Sx),drop_cols: 5 6 & skip_empty: 1
Dx.(Dx)-(Dx)-Dx(.Dx)(-Sx)( Sx),skip_empty: 1
Dx.(Dx)-Dx-Dx(.(Dx)(/Sx)),skip_empty: 1
Dx.(Dx)-Dx-Dx(.(Dx)(/Sx)),split_groups: 0|6 & drop_cols: 0_0 & skip_empty: 1
Dx.Dx,
Dx.Dx,skip_empty: 1
Dx.Dx,split_groups: 0|2 & drop_cols: 0_0 & skip_empty: 1
Dx.Dx,split_groups: 0|4 & drop_cols: 0_0 & keep_length: 1 & merge_after: 0_1 & skip_empty: 1
Dx.Dx,split_groups: 0|4 & drop_cols: 0_0 & skip_empty: 1
Dx.Dx,split_groups: 1|5 & keep_length: 1_0 & merge_after: 0 & skip_empty: 1
Dx.Dx.Dx( Dx),keep_length: 1 2 & merge_after: 0 0 & skip_empty: 1
Dx.Dx.Dx( Dx),skip_empty: 1
Dx.Dx.Dx.Dx.Dx,skip_empty: 1
Dx.S1_Dx.Sx,skip_empty: 1
Dx/Dx/Sx( -Sx),skip_empty: 1
Dx=Sx=Dx,drop_cols: 1 & skip_empty: 1
Dx_Sx Ssx,drop_cols: 0 & join_char:   & skip_empty: 1
Dx_Sx Ssx,split_groups: 2|- & drop_cols: 0 & skip_empty: 1
Dx_Sx(-[S-]x)( D)_[S-]x,skip_empty: 1
Dx_Sx[- ]Sx,drop_cols: 0 & join_char:   & skip_empty: 1
Dx_Sx[- ]Sx,drop_cols: 0 & merge_after: 2_0 0_0 & skip_empty: 1
Dx_Sx[- ]Sx,drop_cols: 0 & skip_empty: 1
Dx_Sx[- ]Sx,drop_cols: 0 1 & skip_empty: 1
Dx_Sx[- ]Sx,split_groups: 0|5 2|- & drop_cols: 0_0 & keep_length: 0 & skip_empty: 1
Dx_Sx[- ]Sx,split_groups: 1|1 2|- & drop_cols: 0 1_0 & skip_empty: 1
Dx_Sx[- ]Sx,split_groups: 1|3 1_1|3 & drop_cols: 0 & join_char:   & skip_empty: 1
Dx_Sx[- ]Sx,split_groups: 2|- & drop_cols: 0 & join_char:   & skip_empty: 1
Dx_Sx[- ]Sx,split_groups: 2|- & drop_cols: 0 & skip_empty: 1
Dx_Sx[- ]Sx,split_groups: 2|- 2_1|- & drop_cols: 0 & keep_length: 2_0 2_1_0 2_1_0 2_1_1 & merge_after: 1 1 1 & skip_empty: 1
Dx_Sx[- ]Sx,split_groups: 2|- 2_1|- & drop_cols: 0 & merge_after: 1 1 1 & skip_empty: 1
Dx_Sx[- ]Sx,split_groups: 2|- 2_1|- & drop_cols: 0 & skip_empty: 1
Dx_Sx[- ]Sx,split_groups: 2|. & drop_cols: 0 & skip_empty: 1
Dx_Sx[- ]Sx,split_groups: 2|\s 2_1|\s 2_1_1|\s 2_1_1_1|\s & drop_cols: 0 & skip_empty: 1
HO Sx/Sx/Sx,skip_empty: 1
M:(A1)Dx  B:Dx  L:Sx,skip_empty: 1
M:Sx B:Sx( L:Sx)(X:[ ]Sx),skip_empty: 1
M:Sx B:Sx( L:Sx)(X:[ ]Sx),split_groups: 0|1 & skip_empty: 1
M:Sx( B:Sx) L:Sx-Sx,skip_empty: 1
M:Sx( B:Sx)( L:(Sx)),skip_empty: 1
R-D3-D4-D4.0,skip_empty: 1
RI Sx/Sx,split_groups: 1|- & skip_empty: 1
RSx Sx Sx( Sx),skip_empty: 1
S1(-)Sx( )-S3-Sx,skip_empty: 1
S1D4[S1 ]D3(S1),split_groups: 0|1 2|[A-Z] & merge_after: 0_1 2 3 & skip_empty: 1
S2-D1.D1-D2-D3.D1-D2-D3.D2,skip_empty: 1
S2-D2-(   )Sx-S4.S4( D2),skip_empty: 1
S2-S2-S3:S3,skip_empty: 1
S2-S2/S3-S3,skip_empty: 1
S2-Sx-D2-S2-D2-S3-Sx,skip_empty: 1
S3-D2-D2-D2-S2-D3-D2,keep_length: 1 2 3 4 5 6 & merge_after: 0 0 0 0 0 0 & skip_empty: 1
S3-D3-D4-D2-D3.D3,keep_length: 3 4 5 & merge_after: 2 2 2 & skip_empty: 1
S3-D4-D4.D1-D4.D2,skip_empty: 1
S3-S3-S4(.Sx.Sx.S2.S1),skip_empty: 1
S3-Sx( )-( S1)-(A1 )-D5(-A),split_groups: 4|- & keep_length: 1 3 & merge_after: 0 2 2 2 2 & skip_empty: 1
S3.D2.D2.D3.D3,keep_length: 1 2 4 & merge_after: 0 0 0 0 & skip_empty: 1
S3/D3-S3,skip_empty: 1
S3/D3-S3,split_groups: 2|1 & skip_empty: 1
S3/S3/D3/D.5,skip_empty: 1
S3[A ](D3)(A),skip_empty: 1
S4-D2-S3-S3-S1-S3-D2,skip_empty: 1
S4=S4=S4,drop_cols: 1 & skip_empty: 1
S4>D2>S4,drop_cols: 0 1 & skip_empty: 1
S4E[ D]2[A]?0?[ D]5( D2),drop_cols: 3 & skip_empty: 1
SK Sx:Sx,skip_empty: 1
Sx,
Sx,keep_length: 1 2 & merge_after: 0 0 & skip_empty: 1
Sx,skip_empty: 1
Sx,split_groups: 0|-5 0_0|4 0_0_0|2 & drop_cols: 0_0_1_1 & skip_empty: 1
Sx,split_groups: 0|-5 0_0|[E] & keep_length: 0_0_1 & merge_after: 0_0_0 & skip_empty: 1
Sx,split_groups: 0|1 & drop_cols: 0_0
Sx,split_groups: 0|1 & drop_cols: 0_0 & skip_empty: 1
Sx,split_groups: 0|1 & skip_empty: 1
Sx,split_groups: 0|11 & drop_cols: 0_1 & skip_empty: 1
Sx,split_groups: 0|13 & drop_cols: 0_1 & skip_empty: 1
Sx,split_groups: 0|2 & skip_empty: 1
Sx,split_groups: 0|2 0_1|2 0_1_1|4 0_1_1_1|4 0_1_1_1_1|4 & skip_empty: 1
Sx,split_groups: 0|3 & drop_cols: 0_0 & skip_empty: 1
Sx,split_groups: 0|3 0_1|15 & drop_cols: 0_0 0_1_1 & skip_empty: 1
Sx,split_groups: 0|3 0_1|3 0_1_1|4 0_1_1_1|2 0_1_1_1_1|1 0_1_1_1_1_1|1 0_1_1_1_1_1_1|2 & merge_after: 0_0 0_0 0_0 0_0 0_0 0_0 & skip_empty: 1
Sx,split_groups: 0|3 0_1|3 0_1_1|4 0_1_1_1|2 0_1_1_1_1|1 0_1_1_1_1_1|3 & merge_after: 0_0 0_0 0_0 & skip_empty: 1
Sx,split_groups: 0|4 & skip_empty: 1
Sx,split_groups: 0|4 0_1|1 0_1_1|5 0_1_1_1|4 & drop_cols: 0_1_1_1 & skip_empty: 1
Sx,split_groups: 0|5 0_1|3 & skip_empty: 1
Sx,split_groups: 0|6 0_1|15 & drop_cols: 0_0 0_1_1
Sx,split_groups: 0|6 0_1|6 & skip_empty: 1
Sx,split_groups: 0|6 0_1|8 0_1_1|8 0_1_1_0|5 0_1_1_0_1|[0] & drop_cols: 0_0 & merge_after: 0_1_0 0_1_0 0_1_0 & skip_empty: 1
Sx,split_groups: 0|7 & drop_cols: 0_0
Sx,split_groups: 0|7 & skip_empty: 1
Sx,split_groups: 0|R 0_0|11 & skip_empty: 1
Sx,split_groups: 0|[E] & keep_length: 0_1 & merge_after: 0_0 & skip_empty: 1
Sx,string_lengths: 1 1 1 1 & skip_empty: 1
Sx,string_lengths: 1 1 2 & skip_empty: 1
Sx,string_lengths: 1 2 2 2 3 4 4 & skip_empty: 1
Sx,string_lengths: 1 3 2 3 2 2 2 2 & skip_empty: 1
Sx,string_lengths: 1 3 2 3 2 2 2 4 & skip_empty: 1
Sx,string_lengths: 1 3 2 3 2 4 4 & skip_empty: 1
Sx,string_lengths: 1 4 2 + & merge_after: 0 & skip_empty: 1
Sx,string_lengths: 13 3 & skip_empty: 1
Sx,string_lengths: 14 & skip_empty: 1
Sx,string_lengths: 2 2 10 & drop_cols: 0 & skip_empty: 1
Sx,string_lengths: 2 2 2 & skip_empty: 1
Sx,string_lengths: 2 2 2 1 3 3 3 & skip_empty: 1
Sx,string_lengths: 2 2 2 4 5 4 & skip_empty: 1
Sx,string_lengths: 2 2 3 3 & skip_empty: 1
Sx,string_lengths: 2 2 4 4 4 & skip_empty: 1
Sx,string_lengths: 2 2 6 & drop_cols: 0 & skip_empty: 1
Sx,string_lengths: 2 3 2 2 4 & skip_empty: 1
Sx,string_lengths: 2 3 2 3 & skip_empty: 1
Sx,string_lengths: 2 3 3 & skip_empty: 1
Sx,string_lengths: 2 3 3 3 & skip_empty: 1
Sx,string_lengths: 2 3 3 3 2 3 & skip_empty: 1
Sx,string_lengths: 2 3 4 & skip_empty: 1
Sx,string_lengths: 2 3 4 4 & skip_empty: 1
Sx,string_lengths: 2 4 2 1 2 2 3 2 1 & drop_cols: 0 & skip_empty: 1
Sx,string_lengths: 2 4 4 & skip_empty: 1
Sx,string_lengths: 3 1 4 4 1 & fill_zeros: 4 & merge_after: 3 & skip_empty: 1
Sx,string_lengths: 3 1 4 4 1 & switch: 0|1 & merge_after: 1 & skip_empty: 1
Sx,string_lengths: 3 2 1 2 2 3 2 & skip_empty: 1
Sx,string_lengths: 3 2 2 2 4 1 & skip_empty: 1
Sx,string_lengths: 3 2 2 3 3 & skip_empty: 1
Sx,string_lengths: 3 2 3 1 & skip_empty: 1
Sx,string_lengths: 3 3 & skip_empty: 1
Sx,string_lengths: 3 3 1 2 3 & skip_empty: 1
Sx,string_lengths: 3 3 2 & skip_empty: 1
Sx,string_lengths: 3 3 2 1 2 2 3 2 1 & drop_cols: 0 & skip_empty: 1
Sx,string_lengths: 3 3 2 1 2 2 3 2 1 & skip_empty: 1
Sx,string_lengths: 3 3 2 3 2 3 2 1 & skip_empty: 1
Sx,string_lengths: 3 3 3 & skip_empty: 1
Sx,string_lengths: 3 3 3 3 & skip_empty: 1
Sx,string_lengths: 3 4 & skip_empty: 1
Sx,string_lengths: 3 4 3
Sx,string_lengths: 3 4 4 1 4 2 & skip_empty: 1
Sx,string_lengths: 3 5 4 & skip_empty: 1
Sx,string_lengths: 4 2 1 2 3 & skip_empty: 1
Sx,string_lengths: 4 2 2 7 & skip_empty: 1
Sx,string_lengths: 4 3 4 4 1 & split_groups: 1|-1 & drop_cols: 0 & switch: 1_0|1_1 & merge_after: 1_1 & skip_empty: 1
Sx,string_lengths: 4 4 4 & skip_empty: 1
Sx,string_lengths: 4 4 5
Sx,string_lengths: 4 4 5 & drop_cols: 2
Sx,string_lengths: 5 1 4 * & drop_cols: 1 & skip_empty: 1
Sx,string_lengths: 5 2 2 & drop_cols: 0 & skip_empty: 1
Sx,string_lengths: 6 * 5 & skip_empty: 1
Sx,string_lengths: 6 2 5 & skip_empty: 1
Sx,string_lengths: 6 3 2 5 3 1 1 1 & merge_after: 5 5 & skip_empty: 1
Sx,string_lengths: 6 3 3 1 3 3 3 & skip_empty: 1
Sx,string_lengths: 6 4 1 & drop_cols: 2 & skip_empty: 1
Sx,string_lengths: 6 6 & skip_empty: 1
Sx,string_lengths: 6 6 6
Sx  Sx,skip_empty: 1
Sx (D1 S1 )Sx,keep_length: 2 3 & merge_after: 0 0 0 & skip_empty: 1
Sx (Dx Sx) Sx,keep_length: 1 2 3 & merge_after: 0 0 0 0 & skip_empty: 1
Sx (Dx Sx) Sx,merge_after: 0 0 0 & skip_empty: 1
Sx (Dx Sx) Sx,skip_empty: 1
Sx (Sx) Sx (A),skip_empty: 1
Sx -D5,skip_empty: 1
Sx D5( D2),drop_cols: 2 & skip_empty: 1
Sx D5( D2),split_groups: 0|1 & drop_cols: 0_0 & keep_length: 1 & merge_after: 0_1 1 & skip_empty: 1
Sx D5( D2),split_groups: 0|1 & drop_cols: 0_0 & merge_after: 0_1 & skip_empty: 1
Sx D5( D2),string_lengths: 10 2 & drop_cols: 1 & skip_empty: 1
Sx D5( D2),string_lengths: 2 2 2 1 2 3 2 & skip_empty: 1
Sx Dx Dx Dx Sx Sx,skip_empty: 1
Sx Dx Dx Dx Sx Sx,switch: 0|2 & skip_empty: 1
Sx Sx,skip_empty: 1
Sx Sx,split_groups: 0|2 & skip_empty: 1
Sx Sx,split_groups: 1|7 & drop_cols: 1_1 & skip_empty: 1
Sx Sx  Sx(  Sx),skip_empty: 1
Sx Sx Sx,
Sx Sx Sx,drop_cols: 0 & skip_empty: 1
Sx Sx Sx,skip_empty: 1
Sx Sx Sx,split_groups: 2|4 & keep_length: 2 & skip_empty: 1
Sx Sx Sx,split_groups: 2|8 & drop_cols: 0 1 & skip_empty: 1
Sx Sx Sx Sx,skip_empty: 1
Sx Sx Sx Sx( Sx Sx Sx),keep_length: 1 2 3 4 5 & merge_after: 0 0 0 0 0 & skip_empty: 1
Sx Sx Sx Sx( Sx Sx Sx),skip_empty: 1
Sx Sx Sx Sx( Sx Sx Sx)|Sx-Sx-Sx-Sx,skip_empty: 1
Sx Sx Sx Sx( Sx),drop_cols: 4 & skip_empty: 1
Sx Sx Sx( A),skip_empty: 1
Sx Sx Sx( Sx Sx),skip_empty: 1
Sx Sx Sx( Sx),drop_cols: 2 & skip_empty: 1
Sx Sx Sx( Sx),split_groups: 2|3 & keep_length: 3 & skip_empty: 1
Sx Sx Sx( Sx)( Sx),
Sx Sx Sx( Sx)( Sx),drop_cols: 0 & skip_empty: 1
Sx Sx Sx( Sx)( Sx),drop_cols: 0 4 & skip_empty: 1
Sx Sx Sx( Sx)( Sx),drop_cols: 2 & skip_empty: 1
Sx Sx Sx( Sx)( Sx),merge_after: 0 0 0 & skip_empty: 1
Sx Sx Sx( Sx)( Sx),skip_empty: 1
Sx Sx Sx( Sx)( Sx),split_groups: 0|2 & drop_cols: 0_0 2 3 & skip_empty: 1
Sx Sx Sx( Sx)( Sx),split_groups: 0|2 & skip_empty: 1
Sx Sx Sx( Sx)( Sx),split_groups: 2|3 & keep_length: 3 & skip_empty: 1
Sx Sx Sx( Sx)( Sx),split_groups: 2|6 & drop_cols: 3 4 & skip_empty: 1
Sx Sx Sx([.-/]Sx),drop_cols: 0 & skip_empty: 1
Sx Sx Sx([.-/]Sx),skip_empty: 1
Sx Sx( Sx),drop_cols: 0 & keep_length: 2 & merge_after: 1 & skip_empty: 1
Sx Sx( Sx),drop_cols: 2 & merge_after: 0 & skip_empty: 1
Sx Sx( Sx),keep_length: 0 1 & skip_empty: 1
Sx Sx( Sx),keep_length: 1 & skip_empty: 1
Sx Sx( Sx),keep_length: 1 2 & merge_after: 0 0 & skip_empty: 1
Sx Sx( Sx),merge_after: 0 0 & skip_empty: 1
Sx Sx( Sx),skip_empty: 1
Sx Sx( Sx),split_groups: 0|1 & drop_cols: 0_0 & skip_empty: 1
Sx Sx( Sx),split_groups: 0|2 1|3 1_1|3 1_1_1|3 & skip_empty: 1
Sx Sx( Sx),split_groups: 0|3 & drop_cols: 0_0 & skip_empty: 1
Sx Sx( Sx),split_groups: 0|3 & skip_empty: 1
Sx Sx( Sx),split_groups: 0|3 0_1|3 0_1_1|2 & skip_empty: 1
Sx Sx( Sx),split_groups: 0|3 0_1|3 1|3 2|3 & drop_cols: 0_0 & skip_empty: 1
Sx Sx( Sx),split_groups: 0|3 1|3 2|3 & drop_cols: 0_0 & skip_empty: 1
Sx Sx( Sx),split_groups: 0|3 1|3 2|3 & drop_cols: 2_1 & skip_empty: 1
Sx Sx( Sx),split_groups: 0|5 & drop_cols: 2 & skip_empty: 1
Sx Sx( Sx),split_groups: 1|1 1_1|3 1_1_1|3 & skip_empty: 1
Sx Sx( Sx),split_groups: 1|1 1_1|4 1_1_1|4 & skip_empty: 1
Sx Sx( Sx),split_groups: 1|2 1_1|4 1_1_1|4 & skip_empty: 1
Sx Sx( Sx),split_groups: 1|3 1_1|4 1_1_1|4 & skip_empty: 1
Sx Sx( Sx),split_groups: 1|5 & skip_empty: 1
Sx Sx( Sx),string_lengths: 3 3 3 3 & skip_empty: 1
Sx Sx-Sx--Sx,split_groups: 3|- & merge_after: 0 & skip_empty: 1
Sx [S-]x( [S-]x),drop_cols: 0 & skip_empty: 1
Sx [S-]x( [S-]x),skip_empty: 1
Sx [S-]x( [S-]x),split_groups: 1|- & skip_empty: 1
Sx [S-]x( [S-]x),split_groups: 1|- 1_1|- & drop_cols: 0 & merge_after: 1_1_0 & skip_empty: 1
Sx [S-]x( [S-]x),split_groups: 1|- 1_1|- & drop_cols: 0 & skip_empty: 1
Sx [S-]x( [S-]x),split_groups: 1|- 1_1|- 1_1_1|- & drop_cols: 0 & skip_empty: 1
Sx [S-]x( [S-]x),split_groups: 1|- 1_1|- 1_1_1|- & skip_empty: 1
Sx [S-]x( [S-]x),split_groups: 1|- 1_1|- 2|- & drop_cols: 0 & join_char:   & skip_empty: 1
Sx [S-]x( [S-]x),split_groups: 2|- & skip_empty: 1
Sx [S.]x,skip_empty: 1
Sx#Sx,split_groups: 1|& 1_0|- & skip_empty: 1
Sx( )(Sx)( )(Sx) ( )(Sx),drop_cols: 0 & skip_empty: 1
Sx( )(Sx)( )(Sx) ( )(Sx),drop_cols: 3 & skip_empty: 1
Sx( )(Sx)( )(Sx) ( )(Sx),merge_after: 0 & skip_empty: 1
Sx( )(Sx)( )(Sx) ( )(Sx),merge_after: 0 0 0 & skip_empty: 1
Sx( )(Sx)( )(Sx) ( )(Sx),skip_empty: 1
Sx( )(Sx)( )(Sx) ( )(Sx),split_groups: 0|2 0_1|2 1|1 & skip_empty: 1
Sx( )(Sx)( )(Sx) ( )(Sx),split_groups: 0|3 0_0|1 0_0_1|1 0_1|1 & drop_cols: 0_1_0 0_0_1_0 & merge_after: 0_0_0 0_0_0 0_0_0 0_0_0 0_0_0 & skip_empty: 1
Sx( )(Sx)( )(Sx) ( )(Sx),split_groups: 0|N 0_1|W 0_1_1|2 1|1 & skip_empty: 1
Sx( )(Sx)( )(Sx) ( )(Sx),split_groups: 1|- & skip_empty: 1
Sx( )(Sx)( )(Sx) ( )(Sx),split_groups: 1|- 1_1|- & drop_cols: 0 3 & skip_empty: 1
Sx( )(Sx)( )(Sx) ( )(Sx),split_groups: 1|1 & drop_cols: 0 & skip_empty: 1
Sx( )-( )(Sx)( - Sx)(-Sx)( Sx),
Sx( )-( )(Sx)( - Sx)(-Sx)( Sx),drop_cols: 0
Sx( )-( )(Sx)( - Sx)(-Sx)( Sx),drop_cols: 0 & skip_empty: 1
Sx( )-( )(Sx)( - Sx)(-Sx)( Sx),drop_cols: 0 1 & skip_empty: 1
Sx( )-( )(Sx)( - Sx)(-Sx)( Sx),drop_cols: 1 & skip_empty: 1
Sx( )-( )(Sx)( - Sx)(-Sx)( Sx),drop_cols: 3
Sx( )-( )(Sx)( - Sx)(-Sx)( Sx),drop_cols: 3 & skip_empty: 1
Sx( )-( )(Sx)( - Sx)(-Sx)( Sx),drop_cols: 4 & skip_empty: 1
Sx( )-( )(Sx)( - Sx)(-Sx)( Sx),merge_after: 1 & skip_empty: 1
Sx( )-( )(Sx)( - Sx)(-Sx)( Sx),merge_after: 1 0 & skip_empty: 1
Sx( )-( )(Sx)( - Sx)(-Sx)( Sx),merge_after: 2 & max_length: 2|5 & skip_empty: 1
Sx( )-( )(Sx)( - Sx)(-Sx)( Sx),merge_after: 2 & skip_empty: 1
Sx( )-( )(Sx)( - Sx)(-Sx)( Sx),merge_after: 2 1 0
Sx( )-( )(Sx)( - Sx)(-Sx)( Sx),merge_after: 4 3 2 & skip_empty: 1
Sx( )-( )(Sx)( - Sx)(-Sx)( Sx),merge_after: 4 3 2 1 0 & skip_empty: 1
Sx( )-( )(Sx)( - Sx)(-Sx)( Sx),no_conv: 1
Sx( )-( )(Sx)( - Sx)(-Sx)( Sx),skip_empty: 1
Sx( )-( )(Sx)( - Sx)(-Sx)( Sx),split_groups: 0|2 & drop_cols: 4 & keep_length: 1 & merge_after: 0_0 0_0 0_0 & skip_empty: 1
Sx( )-( )(Sx)( - Sx)(-Sx)( Sx),split_groups: 0|3 & drop_cols: 3 & skip_empty: 1
Sx( )-( )(Sx)( - Sx)(-Sx)( Sx),split_groups: 0|3 & drop_cols: 4 & keep_length: 1 & merge_after: 0_0 0_0 0_0 & skip_empty: 1
Sx( )-( )(Sx)( - Sx)(-Sx)( Sx),split_groups: 0|S 0_0|N & drop_cols: 4 & skip_empty: 1
Sx( )-( )(Sx)( - Sx)(-Sx)( Sx),split_groups: 0|S 0_1|E & drop_cols: 2 & merge_after: 0_0 & skip_empty: 1
Sx( )-( )(Sx)( - Sx)(-Sx)( Sx),split_groups: 1|. & skip_empty: 1
Sx( )-( )(Sx)( - Sx)(-Sx)( Sx),split_groups: 1|2 & drop_cols: 1_1 4 & skip_empty: 1
Sx( )-( )(Sx)( - Sx)(-Sx)( Sx),split_groups: 1|2 1_1|1 & drop_cols: 1_1_1 2 & switch: 0|1_1_0 1_1_0|1_0 & skip_empty: 1
Sx( )-D2-D3.D3,skip_empty: 1
Sx( )-Sx-Sx-Sx-Sx-( Sx),drop_cols: 0 & keep_length: 2 3 4 & merge_after: 1 1 1 1 & skip_empty: 1
Sx( )-Sx-Sx-Sx-Sx-( Sx),drop_cols: 0 & skip_empty: 1
Sx( )-Sx-Sx-Sx-Sx-( Sx),drop_cols: 0 1 2 & skip_empty: 1
Sx( )-Sx-Sx-Sx-Sx-( Sx),keep_length: 2 3 4 & merge_after: 0 0 0 0 0 & skip_empty: 1
Sx( )-Sx-Sx-Sx-Sx-( Sx),skip_empty: 1
Sx( A)-Sx-Sx( A),skip_empty: 1
Sx(*)Sx(*)Sx(*),skip_empty: 1
Sx(-)Dx,drop_cols: 0 & skip_empty: 1
Sx(-)Dx,keep_length: 0 & skip_empty: 1
Sx(-)Dx,skip_empty: 1
Sx(-)Dx,split_groups: 0|- 0_0|3 & skip_empty: 1
Sx(-)Dx,split_groups: 0|2 & merge_after: 0_1 & skip_empty: 1
Sx(-)Dx,split_groups: 0|6 0_1|1 0_1_1|5 & skip_empty: 1
Sx(-)Dx,split_groups: 0|8 & skip_empty: 1
Sx(-)Dx,split_groups: 0|[A-Z] 0_1|[A-Z] & skip_empty: 1
Sx(-)Dx,split_groups: 1|8 1_1|2 1_1_1|2 1_1_1_1|3 1_1_1_1_1|3 & drop_cols: 0 1_0 & skip_empty: 1
Sx(-)Dx,string_lengths: 2 2 2 1 3 3 3 & skip_empty: 1
Sx(-)Dx,string_lengths: 2 2 6 & drop_cols: 0 & skip_empty: 1
Sx(-)Dx,string_lengths: 2 3 2 3 & skip_empty: 1
Sx(-)Dx,string_lengths: 2 5 4 2 & skip_empty: 1
Sx(-)Dx,string_lengths: 3 3 3 3 & skip_empty: 1
Sx(-)Dx,string_lengths: 3 4 3 4 & skip_empty: 1
Sx(-)Dx,string_lengths: 4 4 4 & skip_empty: 1
Sx(-Sx-S1),skip_empty: 1
Sx(-Sx-S1),string_lengths: 14 & skip_empty: 1
Sx(_Sx)_Sx_Sx(-(Dx)_Sx),skip_empty: 1
Sx(_Sx)_Sx_[S.-]x(_Sx),drop_cols: 1 4
Sx(_Sx)_Sx_[S.-]x(_Sx),drop_cols: 4
Sx(_Sx)_Sx_[S.-]x(_Sx),merge_after: 3 2 1 0 & skip_empty: 1
Sx(_Sx)_Sx_[S.-]x(_Sx),skip_empty: 1
Sx-( )(Sx) ( )(Sx)( )(Dx),split_groups: 0|2 2|- & drop_cols: 0_0 & merge_after: 2_0 & skip_empty: 1
Sx-( )(Sx) ( )(Sx)( )(Dx),split_groups: 1|- 2|- & drop_cols: 0 1_0 & skip_empty: 1
Sx-( )(Sx) ( )(Sx)( )(Dx),split_groups: 1|- 2|- & skip_empty: 1
Sx-(S1 )( S1)-(S1 )( S1)-(S1 )( S1)-(  )Sx(-Sx),keep_length: 7 8 & merge_after: 0 0 0 0 0 0 0 0 & skip_empty: 1
Sx--[S.]x,skip_empty: 1
Sx-Sx,
Sx-Sx,drop_cols: 0 & skip_empty: 1
Sx-Sx,keep_length: 1 & merge_after: 0 & skip_empty: 1
Sx-Sx,skip_empty: 1
Sx-Sx,split_groups: 0|1 & skip_empty: 1
Sx-Sx,split_groups: 0|4 & skip_empty: 1
Sx-Sx,split_groups: 0|4 0_1|2 & drop_cols: 0_0 & skip_empty: 1
Sx-Sx,split_groups: 1|-1 & drop_cols: 1_1 & skip_empty: 1
Sx-Sx,split_groups: 1|2 1_1|10 & drop_cols: 0 1_0 & skip_empty: 1
Sx-Sx,split_groups: 1|2 1_1|2 1_1_1|3 & drop_cols: 0 & skip_empty: 1
Sx-Sx,split_groups: 1|2 1_1|2 1_1_1|3 1_1_1_1|3 & drop_cols: 0 & skip_empty: 1
Sx-Sx,split_groups: 1|3 & skip_empty: 1
Sx-Sx,split_groups: 1|5 1_1|2 1_1_1|2 1_1_1_1|3 1_1_1_1_1|3 & drop_cols: 0 & skip_empty: 1
Sx-Sx,split_groups: 1|7 1_1|2 1_1_1|3 & drop_cols: 0 & skip_empty: 1
Sx-Sx,split_groups: 1|A & skip_empty: 1
Sx-Sx  ( )Dx,split_groups: 0|2 2|- 2_1|- 2_1_1|- & skip_empty: 1
Sx-Sx  ( )Dx,split_groups: 1|. 2|- & skip_empty: 1
Sx-Sx(-Sx),merge_after: 1 0 & skip_empty: 1
Sx-Sx(-Sx),skip_empty: 1
Sx-Sx(-Sx),split_groups: 0|1 & skip_empty: 1
Sx-Sx(-Sx),split_groups: 1|4 & skip_empty: 1
Sx-Sx(-Sx)(-Sx),drop_cols: 0 & skip_empty: 1
